Host Name,Number of Stars,Number of Planets,Radius (Thousands of Astronomical Units),Host (Galaxy),,,,,,,,,,,
K2-212,1,1,98.401,Triangulum Galaxy,,,,,,,,,,,
K2-213,1,1,111.232,Fireworks Galaxy,,,,,,,,,,,
K2-214,1,1,285.004,Mice Galaxies,,,,,,,,,,,
K2-215,1,1,285.683,Knife Edge Galaxy,,,,,,,,,,,
K2-216,1,1,287.139,Grasshopper,,,,,,,,,,,
K2-217,1,1,264.675,Bear Paw Galaxy,,,,,,,,,,,
K2-218,1,1,205.96,Malin 1,,,,,,,,,,,
K2-219,1,3,57.557,Godzilla Galaxy,,,,,,,,,,,
K2-22,2,1,27.54,Andromeda Galaxy,,,,,,,,,,,
K2-220,1,1,230.427,Grasshopper,,,,,,,,,,,
K2-221,1,1,29.914,Hidden Galaxy,,,,,,,,,,,
K2-222,1,1,42.74,Cigar Galaxy,,,,,,,,,,,
K2-223,1,2,30.771,Starfish Galaxy,,,,,,,,,,,
K2-224,1,2,294.973,Fireworks Galaxy,,,,,,,,,,,
K2-225,1,1,53.801,Butterfly Galaxies,,,,,,,,,,,
K2-226,1,1,75.328,Starfish Galaxy,,,,,,,,,,,
K2-227,1,1,36.356,Tadpole Galaxy,,,,,,,,,,,
K2-228,1,1,207.076,Wolf-Lundmark-Melotte,,,,,,,,,,,
K2-229,1,2,42.381,Cartwheel Galaxy,,,,,,,,,,,
K2-230,1,1,183.31,Blinking Galaxy,,,,,,,,,,,
K2-231,1,1,127.583,Dusty Hand Galaxy,,,,,,,,,,,
K2-232,1,1,7.587,Sculptor Galaxy,,,,,,,,,,,
K2-233,1,3,44.462,Sombrero Galaxy,,,,,,,,,,,
K2-237,1,1,235.605,Porphyrion,,,,,,,,,,,
K2-238,1,1,114.946,Antennae Galaxies,,,,,,,,,,,
K2-239,1,3,243.644,Blinking Galaxy,,,,,,,,,,,
K2-24,1,2,210.709,Eye of Sauron,,,,,,,,,,,
K2-240,1,2,231.116,Butterfly Galaxies,,,,,,,,,,,
K2-241,1,1,6.272,Bear Paw Galaxy,,,,,,,,,,,
K2-242,1,1,10.883,Hoag's Object,,,,,,,,,,,
K2-243,1,2,176.505,Cosmos Redshift 7,,,,,,,,,,,
K2-244,1,1,229.63,Cosmos Redshift 7,,,,,,,,,,,
K2-245,1,1,217.446,Grasshopper,,,,,,,,,,,
K2-246,1,1,104.823,Dusty Hand Galaxy,,,,,,,,,,,
K2-247,1,2,113.406,Little Sombrero Galaxy,,,,,,,,,,,
K2-248,1,1,1.09,Small Magellanic Cloud,,,,,,,,,,,
K2-249,1,1,226.602,Porphyrion,,,,,,,,,,,
K2-25,1,1,191.157,Godzilla Galaxy,,,,,,,,,,,
K2-250,1,1,67.027,Andromeda Galaxy,,,,,,,,,,,
K2-251,1,1,47.316,Comet Galaxy,,,,,,,,,,,
K2-252,1,1,116.893,Meathook Galaxy,,,,,,,,,,,
K2-253,1,1,272.333,Triangulum Galaxy,,,,,,,,,,,
K2-254,1,2,268.744,Godzilla Galaxy,,,,,,,,,,,
K2-255,1,1,207.524,Medusa Merger,,,,,,,,,,,
K2-257,1,1,168.116,Small Magellanic Cloud,,,,,,,,,,,
K2-258,1,1,161.86,Hoag's Object,,,,,,,,,,,
K2-259,1,1,179.228,Circinus Galaxy,,,,,,,,,,,
K2-26,1,1,95.568,Cosmos Redshift 7,,,,,,,,,,,
K2-260,1,1,56.545,Mice Galaxies,,,,,,,,,,,
K2-261,1,1,237.426,Hidden Galaxy,,,,,,,,,,,
K2-263,1,1,169.053,Blinking Galaxy,,,,,,,,,,,
K2-264,1,2,217.006,Southern Pinwheel Galaxy,,,,,,,,,,,
K2-265,2,1,266.783,Porphyrion,,,,,,,,,,,
K2-266,2,4,202.04,Grasshopper,,,,,,,,,,,
K2-268,1,5,247.329,Malin 1,,,,,,,,,,,
K2-269,1,1,25.224,Sculptor Galaxy,,,,,,,,,,,
K2-27,3,1,198.455,Knife Edge Galaxy,,,,,,,,,,,
K2-270,1,2,42.948,Hockey Stick Galaxies,,,,,,,,,,,
K2-271,1,1,231.358,Topsy Turvy Galaxy,,,,,,,,,,,
K2-272,1,1,265.774,Milky Way,,,,,,,,,,,
K2-273,1,1,246.204,Helix Galaxy,,,,,,,,,,,
K2-274,1,1,120.524,Cigar Galaxy,,,,,,,,,,,
K2-275,1,2,215.97,Malin 1,,,,,,,,,,,
K2-276,1,1,57.575,Bear Paw Galaxy,,,,,,,,,,,
K2-277,1,1,147.351,Malin 1,,,,,,,,,,,
K2-278,1,1,277.397,Backward Galaxy,,,,,,,,,,,
K2-279,1,1,295.83,Barnard's Galaxy,,,,,,,,,,,
K2-28,1,1,291.907,Mice Galaxies,,,,,,,,,,,
K2-280,1,1,245.279,Hockey Stick Galaxies,,,,,,,,,,,
K2-281,1,1,53.548,Circinus Galaxy,,,,,,,,,,,
K2-283,1,1,108.29,Triangulum Galaxy,,,,,,,,,,,
K2-284,1,1,129.525,UFO Galaxy,,,,,,,,,,,
K2-285,1,4,18.869,Large Magellanic Cloud,,,,,,,,,,,
K2-286,1,1,74.706,Milky Way,,,,,,,,,,,
K2-287,1,1,62.394,Bear Paw Galaxy,,,,,,,,,,,
K2-288 B,2,1,290.468,Hoag's Object,,,,,,,,,,,
K2-289,1,1,277.02,Cigar Galaxy,,,,,,,,,,,
K2-29,2,1,238.994,Andromeda Galaxy,,,,,,,,,,,
K2-290,3,2,252.769,Sculptor Galaxy,,,,,,,,,,,
K2-291,1,1,94.943,Knife Edge Galaxy,,,,,,,,,,,
K2-292,1,1,228.629,Small Magellanic Cloud,,,,,,,,,,,
K2-293,1,1,80.07,Cartwheel Galaxy,,,,,,,,,,,
K2-294,1,1,37.039,Bode's Galaxy,,,,,,,,,,,
K2-295,1,1,91.274,Barnard's Galaxy,,,,,,,,,,,
K2-3,1,3,130.237,Cosmos Redshift 7,,,,,,,,,,,
K2-30,1,1,163.543,Coma Pinwheel Galaxy,,,,,,,,,,,
K2-308,1,1,298.498,Small Magellanic Cloud,,,,,,,,,,,
K2-31,2,1,262.693,Whirlpool Galaxy,,,,,,,,,,,
K2-315,1,1,84.232,Comet Galaxy,,,,,,,,,,,
K2-316,1,2,31.302,Dusty Hand Galaxy,,,,,,,,,,,
K2-317,1,1,299.715,#N/A,,,,,,,,,,,
K2-318,1,1,21.806,Large Magellanic Cloud,,,,,,,,,,,
K2-319,1,1,182.354,Tadpole Galaxy,,,,,,,,,,,
K2-32,2,4,294.241,Cosmos Redshift 7,,,,,,,,,,,
K2-320,1,1,146.094,Blinking Galaxy,,,,,,,,,,,
K2-321,1,1,199.874,Fireworks Galaxy,,,,,,,,,,,
K2-322,1,1,249.832,Condor Galaxy,,,,,,,,,,,
K2-323,1,1,286.769,Porpoise Galaxy,,,,,,,,,,,
K2-324,1,1,116.424,Skyrocket Galaxy,,,,,,,,,,,
K2-325,1,1,109.746,Starfish Galaxy,,,,,,,,,,,
K2-326,1,1,214.788,Cosmos Redshift 7,,,,,,,,,,,
K2-329,1,1,109.192,Fireworks Galaxy,,,,,,,,,,,
K2-33,1,1,40.206,Alcyoneus,,,,,,,,,,,
K2-330,1,1,195.39,Lindsay-Shapley Ring,,,,,,,,,,,
K2-331,1,2,123.409,Backward Galaxy,,,,,,,,,,,
K2-332,1,1,132.032,Mice Galaxies,,,,,,,,,,,
K2-333,1,1,227.454,Antennae Galaxies,,,,,,,,,,,
K2-334,1,1,195.114,Hidden Galaxy,,,,,,,,,,,
K2-335,1,1,294.467,Bode's Galaxy,,,,,,,,,,,
K2-336,1,1,273.41,Hoag's Object,,,,,,,,,,,
K2-337,1,1,294.228,Tadpole Galaxy,,,,,,,,,,,
K2-338,1,1,251.04,Circinus Galaxy,,,,,,,,,,,
K2-339,1,1,25.762,Backward Galaxy,,,,,,,,,,,
K2-34,1,1,161.736,Little Sombrero Galaxy,,,,,,,,,,,
K2-340,1,1,245.054,UFO Galaxy,,,,,,,,,,,
K2-341,1,1,240.914,Andromeda Galaxy,,,,,,,,,,,
K2-342,1,1,23.262,Cartwheel Galaxy,,,,,,,,,,,
K2-343,1,2,162.365,Small Magellanic Cloud,,,,,,,,,,,
K2-344,1,1,68.03,Grasshopper,,,,,,,,,,,
K2-345,1,1,21.737,Hockey Stick Galaxies,,,,,,,,,,,
K2-346,1,1,60.868,Condor Galaxy,,,,,,,,,,,
K2-347,1,1,122.786,Peekaboo Galaxy,,,,,,,,,,,
K2-348,1,2,87.147,Spider Galaxy,,,,,,,,,,,
K2-349,1,1,79.812,Hockey Stick Galaxies,,,,,,,,,,,
K2-35,1,2,293.185,Black Eye Galaxy,,,,,,,,,,,
K2-350,1,2,66.83,Comet Galaxy,,,,,,,,,,,
K2-351,1,1,287.59,Needle Galaxy,,,,,,,,,,,
K2-352,1,3,296.829,Eye of Sauron,,,,,,,,,,,
K2-353,1,1,194.822,Hoag's Object,,,,,,,,,,,
K2-354,1,1,281.149,Backward Galaxy,,,,,,,,,,,
K2-355,1,1,109.789,Helix Galaxy,,,,,,,,,,,
K2-356,1,1,51.129,Needle Galaxy,,,,,,,,,,,
K2-357,1,1,199.149,Sombrero Galaxy,,,,,,,,,,,
K2-358,1,1,214.44,Blinking Galaxy,,,,,,,,,,,
K2-36,1,2,85.78,Needle Galaxy,,,,,,,,,,,
K2-365,1,1,12.605,Starfish Galaxy,,,,,,,,,,,
K2-366,1,1,148.872,UFO Galaxy,,,,,,,,,,,
K2-367,1,1,139.035,Cocoon Galaxy,,,,,,,,,,,
K2-368,1,3,204.391,Sculptor Dwarf Galaxy,,,,,,,,,,,
K2-369,1,1,219.701,Needle Galaxy,,,,,,,,,,,
K2-37,1,3,203.256,Alcyoneus,,,,,,,,,,,
K2-370,1,1,54.621,Spider Galaxy,,,,,,,,,,,
K2-371,1,1,214.417,Antennae Galaxies,,,,,,,,,,,
K2-372,1,1,61.593,Dusty Hand Galaxy,,,,,,,,,,,
K2-373,1,1,50.02,Fried Egg Galaxy,,,,,,,,,,,
K2-374,1,2,223.332,Coma Pinwheel Galaxy,,,,,,,,,,,
K2-375,1,1,267.542,Small Magellanic Cloud,,,,,,,,,,,
K2-376,1,1,202.293,Little Sombrero Galaxy,,,,,,,,,,,
K2-377,1,1,143.038,Medusa Merger,,,,,,,,,,,
K2-378,1,1,148.642,Meathook Galaxy,,,,,,,,,,,
K2-379,1,1,92.738,Blinking Galaxy,,,,,,,,,,,
K2-38,1,2,212.354,Bear Paw Galaxy,,,,,,,,,,,
K2-380,1,1,17.857,Cocoon Galaxy,,,,,,,,,,,
K2-381,1,3,170.186,Eye of God,,,,,,,,,,,
K2-382,1,1,49.574,Grasshopper,,,,,,,,,,,
K2-383,1,1,20.668,Hoag's Object,,,,,,,,,,,
K2-384,1,5,1.292,Milky Way,,,,,,,,,,,
K2-385,1,1,169.041,Large Magellanic Cloud,,,,,,,,,,,
K2-386,1,1,209.817,Cocoon Galaxy,,,,,,,,,,,
K2-387,1,1,149.064,Fireworks Galaxy,,,,,,,,,,,
K2-388,1,1,270.385,Cosmos Redshift 7,,,,,,,,,,,
K2-389,1,2,136.042,Mice Galaxies,,,,,,,,,,,
K2-39,1,1,298.073,Cartwheel Galaxy,,,,,,,,,,,
K2-390,1,1,155.208,Sculptor Galaxy,,,,,,,,,,,
K2-391,1,1,108.156,Bear Paw Galaxy,,,,,,,,,,,
K2-392,1,1,41.087,Alcyoneus,,,,,,,,,,,
K2-393,1,1,184.415,Cosmos Redshift 7,,,,,,,,,,,
K2-394,1,1,168.121,Coma Pinwheel Galaxy,,,,,,,,,,,
K2-395,1,2,135.051,Blinking Galaxy,,,,,,,,,,,
K2-396,1,2,138.198,Cosmos Redshift 7,,,,,,,,,,,
K2-397,1,1,64.504,Cartwheel Galaxy,,,,,,,,,,,
K2-398,1,2,123.603,Lindsay-Shapley Ring,,,,,,,,,,,
K2-4,1,1,236.211,Triangulum Galaxy,,,,,,,,,,,
K2-400,1,1,247.355,Butterfly Galaxies,,,,,,,,,,,
K2-401,1,1,102.606,Dusty Hand Galaxy,,,,,,,,,,,
K2-402,1,1,18.007,Comet Galaxy,,,,,,,,,,,
K2-403,1,1,219.395,Malin 1,,,,,,,,,,,
K2-404,1,1,88.795,Black Eye Galaxy,,,,,,,,,,,
K2-405,1,1,211.146,Small Magellanic Cloud,,,,,,,,,,,
K2-406,1,1,108.422,Lindsay-Shapley Ring,,,,,,,,,,,
K2-407,1,2,244.692,Spiderweb Galaxy,,,,,,,,,,,
K2-408,1,1,50.586,Milky Way,,,,,,,,,,,
K2-409,1,1,91.272,Butterfly Galaxies,,,,,,,,,,,
K2-411,1,1,149.138,Circinus Galaxy,,,,,,,,,,,
K2-412,1,1,44.184,Alcyoneus,,,,,,,,,,,
K2-413,1,2,88.28,Circinus Galaxy,,,,,,,,,,,
K2-414,1,2,194.743,Helix Galaxy,,,,,,,,,,,
K2-415,1,1,191.276,Hockey Stick Galaxies,,,,,,,,,,,
K2-416,1,1,237.801,Antennae Galaxies,,,,,,,,,,,
K2-417,1,1,164.694,Andromeda Galaxy,,,,,,,,,,,
K2-419 A,2,1,15.327,Whale Galaxy,,,,,,,,,,,
K2-42,1,1,234.729,Needle Galaxy,,,,,,,,,,,
K2-43,1,2,2.309,Bear Paw Galaxy,,,,,,,,,,,
K2-44,1,1,289.479,Cocoon Galaxy,,,,,,,,,,,
K2-45,1,1,2.432,Blinking Galaxy,,,,,,,,,,,
K2-46,1,1,188.928,Alcyoneus,,,,,,,,,,,
K2-47,1,1,271.684,Circinus Galaxy,,,,,,,,,,,
K2-48,1,1,170.857,Bear Paw Galaxy,,,,,,,,,,,
K2-49,1,1,164.675,Cigar Galaxy,,,,,,,,,,,
K2-5,1,2,221.342,Dusty Hand Galaxy,,,,,,,,,,,
K2-52,1,1,95.195,Barnard's Galaxy,,,,,,,,,,,
K2-53,1,1,235.575,Barnard's Galaxy,,,,,,,,,,,
K2-54,1,1,104.332,Small Magellanic Cloud,,,,,,,,,,,
K2-55,1,1,165.518,Little Sombrero Galaxy,,,,,,,,,,,
K2-57,1,1,110.451,Spider Galaxy,,,,,,,,,,,
K2-58,1,3,243.184,Cocoon Galaxy,,,,,,,,,,,
K2-59,1,2,295.25,Sculptor Galaxy,,,,,,,,,,,
K2-6,1,1,270.878,Peekaboo Galaxy,,,,,,,,,,,
K2-60,1,1,211.973,Blinking Galaxy,,,,,,,,,,,
K2-61,1,1,226.787,Whale Galaxy,,,,,,,,,,,
K2-62,1,2,231.013,Eye of Sauron,,,,,,,,,,,
K2-63,1,2,143.176,Grasshopper,,,,,,,,,,,
K2-64,1,1,185.58,Knife Edge Galaxy,,,,,,,,,,,
K2-65,1,1,120.012,Coma Pinwheel Galaxy,,,,,,,,,,,
K2-66,1,1,142.661,Eye of Sauron,,,,,,,,,,,
K2-68,1,1,116.598,Medusa Merger,,,,,,,,,,,
K2-69,1,1,67.385,Bode's Galaxy,,,,,,,,,,,
K2-7,1,1,225.37,Eye of Sauron,,,,,,,,,,,
K2-70,1,1,231.902,Malin 1,,,,,,,,,,,
K2-71,1,1,190.272,Whale Galaxy,,,,,,,,,,,
K2-72,1,4,175.291,Meathook Galaxy,,,,,,,,,,,
K2-73,1,1,3.58,Godzilla Galaxy,,,,,,,,,,,
K2-74,1,1,282.232,Malin 1,,,,,,,,,,,
K2-75,1,2,223.999,Condor Galaxy,,,,,,,,,,,
K2-77,1,1,274.845,Backward Galaxy,,,,,,,,,,,
K2-79,1,1,224.783,Helix Galaxy,,,,,,,,,,,
K2-8,1,2,223.38,Backward Galaxy,,,,,,,,,,,
K2-80,1,3,10.661,Eye of Sauron,,,,,,,,,,,
K2-81,1,1,57.784,Circinus Galaxy,,,,,,,,,,,
K2-83,1,2,194.446,Whale Galaxy,,,,,,,,,,,
K2-84,1,2,111.529,Helix Galaxy,,,,,,,,,,,
K2-85,1,1,68.065,Spider Galaxy,,,,,,,,,,,
K2-86,1,1,237.908,Whirlpool Galaxy,,,,,,,,,,,
K2-87,1,1,149.035,Sculptor Dwarf Galaxy,,,,,,,,,,,
K2-88,1,1,111.134,Andromeda Galaxy,,,,,,,,,,,
K2-89,1,1,219.269,Andromeda Galaxy,,,,,,,,,,,
K2-9,1,1,156.528,Helix Galaxy,,,,,,,,,,,
K2-90,1,2,25.523,Eye of Sauron,,,,,,,,,,,
K2-91,1,1,180.544,Large Magellanic Cloud,,,,,,,,,,,
K2-95,1,1,44.251,Small Magellanic Cloud,,,,,,,,,,,
K2-97,1,1,206.599,Helix Galaxy,,,,,,,,,,,
K2-98,1,1,184.919,Hockey Stick Galaxies,,,,,,,,,,,
K2-99,1,1,231.785,Cartwheel Galaxy,,,,,,,,,,,
KELT-1,1,1,41.91,Antennae Galaxies,,,,,,,,,,,
KELT-10,1,1,256.047,Comet Galaxy,,,,,,,,,,,
KELT-11,1,1,119.034,Eye of God,,,,,,,,,,,
KELT-12,1,1,13.8,Cosmos Redshift 7,,,,,,,,,,,
KELT-14,1,1,221.241,Backward Galaxy,,,,,,,,,,,
KELT-15,2,1,132.85,Medusa Merger,,,,,,,,,,,
KELT-16,2,1,260.723,Hockey Stick Galaxies,,,,,,,,,,,
KELT-17,1,1,263.434,Malin 1,,,,,,,,,,,
KELT-18,2,1,155.989,Helix Galaxy,,,,,,,,,,,
KELT-19 A,2,1,23.026,Cosmos Redshift 7,,,,,,,,,,,
KELT-2 A,2,1,80.293,Little Sombrero Galaxy,,,,,,,,,,,
KELT-20,1,1,152.343,UFO Galaxy,,,,,,,,,,,
KELT-21,1,1,108.55,Hidden Galaxy,,,,,,,,,,,
KELT-23 A,2,1,281.888,Pinwheel Galaxy,,,,,,,,,,,
KELT-24,2,1,279.309,Hidden Galaxy,,,,,,,,,,,
KELT-3,2,1,56.204,Topsy Turvy Galaxy,,,,,,,,,,,
KELT-4 A,3,1,63.785,Sculptor Dwarf Galaxy,,,,,,,,,,,
KELT-6,1,2,47.717,Andromeda Galaxy,,,,,,,,,,,
KELT-7,1,1,160.441,Sombrero Galaxy,,,,,,,,,,,
KELT-8,1,1,125.753,Hidden Galaxy,,,,,,,,,,,
KELT-9,2,1,240.156,Fried Egg Galaxy,,,,,,,,,,,
KIC 10001893,1,3,250.439,Sculptor Dwarf Galaxy,,,,,,,,,,,
KIC 10068024,1,1,7.696,Meathook Galaxy,,,,,,,,,,,
KIC 10525077,1,1,265.721,Mayall's Object,,,,,,,,,,,
KIC 3526061,1,1,297.644,Barnard's Galaxy,,,,,,,,,,,
KIC 3558849,1,1,208.889,Hockey Stick Galaxies,,,,,,,,,,,
KIC 5437945,1,2,252.564,Andromeda Galaxy,,,,,,,,,,,
KIC 5479689,1,1,30.617,Blinking Galaxy,,,,,,,,,,,
KIC 7917485,1,1,17.045,Needle Galaxy,,,,,,,,,,,
KIC 8121913,1,1,102.539,Hockey Stick Galaxies,,,,,,,,,,,
KOI-7892,1,3,66.629,Cosmos Redshift 7,,,,,,,,,,,
KIC 9663113,1,2,200.185,Bear Paw Galaxy,,,,,,,,,,,
KMT-2016-BLG-0212L,1,1,192.409,Butterfly Galaxies,,,,,,,,,,,
KMT-2016-BLG-1105L,1,1,217.048,Helix Galaxy,,,,,,,,,,,
KMT-2016-BLG-1107L,1,1,116.131,Tadpole Galaxy,,,,,,,,,,,
KMT-2016-BLG-1397L,1,1,148.196,Cigar Galaxy,,,,,,,,,,,
KMT-2016-BLG-1820L,1,1,26.647,Sombrero Galaxy,,,,,,,,,,,
KMT-2016-BLG-1836L,1,1,30.463,Barnard's Galaxy,,,,,,,,,,,
KMT-2016-BLG-2142L,1,1,31.557,Butterfly Galaxies,,,,,,,,,,,
KMT-2016-BLG-2321L,1,1,49.887,UFO Galaxy,,,,,,,,,,,
KMT-2016-BLG-2364L,1,1,215.372,Hidden Galaxy,,,,,,,,,,,
KMT-2016-BLG-2397L,1,1,215.712,Grasshopper,,,,,,,,,,,
KMT-2016-BLG-2605L,1,1,267.633,Grasshopper,,,,,,,,,,,
KMT-2017-BLG-0165L,1,1,81.458,Sculptor Galaxy,,,,,,,,,,,
KMT-2017-BLG-0428L,1,1,47.74,Lindsay-Shapley Ring,,,,,,,,,,,
KMT-2017-BLG-0673L,1,1,21.867,Mice Galaxies,,,,,,,,,,,
KMT-2017-BLG-1003L,1,1,168.677,Grasshopper,,,,,,,,,,,
KMT-2017-BLG-1038L,1,1,69.558,Eye of Sauron,,,,,,,,,,,
KMT-2017-BLG-1146L,1,1,52.148,Circinus Galaxy,,,,,,,,,,,
KMT-2017-BLG-1194L,1,1,143.15,Butterfly Galaxies,,,,,,,,,,,
KMT-2017-BLG-2509L,1,1,141.825,Comet Galaxy,,,,,,,,,,,
KMT-2018-BLG-0029L,1,1,49.317,Cocoon Galaxy,,,,,,,,,,,
KMT-2018-BLG-0030L,1,1,52.229,Large Magellanic Cloud,,,,,,,,,,,
KMT-2018-BLG-0087L,1,1,14.974,Sculptor Dwarf Galaxy,,,,,,,,,,,
KMT-2018-BLG-0247L,1,1,274.54,Southern Pinwheel Galaxy,,,,,,,,,,,
KMT-2018-BLG-0748L,1,1,143.077,Eye of God,,,,,,,,,,,
KMT-2018-BLG-0885L,1,1,50.607,Hidden Galaxy,,,,,,,,,,,
KMT-2018-BLG-1025L,1,1,183.975,Andromeda Galaxy,,,,,,,,,,,
KMT-2018-BLG-1292L,1,1,282.058,Black Eye Galaxy,,,,,,,,,,,
KMT-2018-BLG-1743L,1,1,68.94,Cartwheel Galaxy,,,,,,,,,,,
KMT-2018-BLG-1976L,1,1,168.75,Condor Galaxy,,,,,,,,,,,
KMT-2018-BLG-1988L,1,1,129.632,Cosmos Redshift 7,,,,,,,,,,,
KMT-2018-BLG-1990L,1,1,77.204,Coma Pinwheel Galaxy,,,,,,,,,,,
KMT-2018-BLG-1996L,1,1,126.604,Malin 1,,,,,,,,,,,
KMT-2018-BLG-2602L,1,1,60.391,Starfish Galaxy,,,,,,,,,,,
KMT-2019-BLG-0253L,1,1,256.205,Porpoise Galaxy,,,,,,,,,,,
KMT-2019-BLG-0297L,1,1,274.002,Black Eye Galaxy,,,,,,,,,,,
KMT-2019-BLG-0298L,1,1,74.09,Fried Egg Galaxy,,,,,,,,,,,
KMT-2019-BLG-0335L,1,1,168.272,Porpoise Galaxy,,,,,,,,,,,
KMT-2019-BLG-0371L,1,1,217.101,Bear Paw Galaxy,,,,,,,,,,,
KMT-2019-BLG-0414L,1,1,143.174,Sculptor Dwarf Galaxy,,,,,,,,,,,
KMT-2019-BLG-0842L,1,1,246.787,Andromeda Galaxy,,,,,,,,,,,
KMT-2019-BLG-0953L,1,1,20.228,Milky Way,,,,,,,,,,,
KMT-2019-BLG-1042L,1,1,18.313,Bode's Galaxy,,,,,,,,,,,
KMT-2019-BLG-1216L,1,1,270.734,Medusa Merger,,,,,,,,,,,
KMT-2019-BLG-1339L,1,1,70.931,Antennae Galaxies,,,,,,,,,,,
KMT-2019-BLG-1367L,1,1,40.547,Peekaboo Galaxy,,,,,,,,,,,
KMT-2019-BLG-1552L,1,1,46.032,Knife Edge Galaxy,,,,,,,,,,,
KMT-2019-BLG-1715L,1,1,18.025,Topsy Turvy Galaxy,,,,,,,,,,,
KMT-2019-BLG-1806L,1,1,225.081,Blinking Galaxy,,,,,,,,,,,
KMT-2019-BLG-1953L,1,1,21.649,Comet Galaxy,,,,,,,,,,,
KMT-2019-BLG-2783L,1,1,88.771,Meathook Galaxy,,,,,,,,,,,
KMT-2019-BLG-2974L,1,1,77.005,Meathook Galaxy,,,,,,,,,,,
KMT-2020-BLG-0414L,1,2,248.787,Condor Galaxy,,,,,,,,,,,
KMT-2021-BLG-0119L,1,1,29.348,Bode's Galaxy,,,,,,,,,,,
KMT-2021-BLG-0171L,1,1,180.078,Peekaboo Galaxy,,,,,,,,,,,
KMT-2021-BLG-0192L,1,1,168.754,Andromeda Galaxy,,,,,,,,,,,
KMT-2021-BLG-0240L,1,1,272.363,Lindsay-Shapley Ring,,,,,,,,,,,
KMT-2021-BLG-0320L,1,1,268.456,Knife Edge Galaxy,,,,,,,,,,,
KMT-2021-BLG-0322L,2,1,216.566,Fireworks Galaxy,,,,,,,,,,,
KMT-2021-BLG-0712L,1,1,12.344,Comet Galaxy,,,,,,,,,,,
KMT-2021-BLG-0748L,1,1,16.985,Spider Galaxy,,,,,,,,,,,
KMT-2021-BLG-0909L,1,1,173.375,Knife Edge Galaxy,,,,,,,,,,,
KMT-2021-BLG-0912L,1,1,93.192,Mayall's Object,,,,,,,,,,,
KMT-2021-BLG-1077L,1,2,285.878,Lindsay-Shapley Ring,,,,,,,,,,,
KMT-2021-BLG-1105L,1,1,18.526,Milky Way,,,,,,,,,,,
KMT-2021-BLG-1150L,1,1,121.368,Meathook Galaxy,,,,,,,,,,,
KMT-2021-BLG-1253L,1,1,189.918,Cartwheel Galaxy,,,,,,,,,,,
KMT-2021-BLG-1303L,1,1,6.923,Cigar Galaxy,,,,,,,,,,,
KMT-2021-BLG-1372L,1,1,99.371,Blinking Galaxy,,,,,,,,,,,
KMT-2021-BLG-1391L,1,1,163.053,Triangulum Galaxy,,,,,,,,,,,
KMT-2021-BLG-1547L,1,1,199.345,Wolf-Lundmark-Melotte,,,,,,,,,,,
KMT-2021-BLG-1554L,1,1,162.558,Andromeda Galaxy,,,,,,,,,,,
KMT-2021-BLG-1689L,1,1,49.021,Wolf-Lundmark-Melotte,,,,,,,,,,,
KMT-2021-BLG-1770L,1,1,196.114,Fried Egg Galaxy,,,,,,,,,,,
KMT-2021-BLG-1898L,1,1,90.296,Hockey Stick Galaxies,,,,,,,,,,,
KMT-2021-BLG-2010L,1,1,287.027,Cartwheel Galaxy,,,,,,,,,,,
KMT-2021-BLG-2294L,1,1,240.581,Triangulum Galaxy,,,,,,,,,,,
KMT-2021-BLG-2478L,1,1,215.509,Porphyrion,,,,,,,,,,,
KMT-2021-BLG-2609L,1,1,246.832,Milky Way,,,,,,,,,,,
KMT-2022-BLG-0303L,1,1,198.808,Coma Pinwheel Galaxy,,,,,,,,,,,
KMT-2022-BLG-0371L,1,1,143.86,Mayall's Object,,,,,,,,,,,
KMT-2022-BLG-0440L,1,1,48.617,Barnard's Galaxy,,,,,,,,,,,
KMT-2022-BLG-1013L,1,1,142.292,Little Sombrero Galaxy,,,,,,,,,,,
KMT-2022-BLG-2286L,1,1,160.71,Bode's Galaxy,,,,,,,,,,,
KMT-2023-BLG-0416L,1,1,36.852,Wolf-Lundmark-Melotte,,,,,,,,,,,
KMT-2023-BLG-0469L,1,1,217.44,Knife Edge Galaxy,,,,,,,,,,,
KMT-2023-BLG-0735L,1,1,90.318,Starfish Galaxy,,,,,,,,,,,
KMT-2023-BLG-1431L,1,1,40.868,Eye of God,,,,,,,,,,,
KMT-2023-BLG-1454L,1,1,86.746,Eye of God,,,,,,,,,,,
KMT-2023-BLG-1642L,1,1,17.126,Large Magellanic Cloud,,,,,,,,,,,
KMT-2023-BLG-1743L,1,1,257.319,Porpoise Galaxy,,,,,,,,,,,
KMT-2023-BLG-1866L,1,1,241.801,Comet Galaxy,,,,,,,,,,,
KMT-2024-BLG-1044L,1,1,210.702,Lindsay-Shapley Ring,,,,,,,,,,,
KOI-12,1,2,148.634,Condor Galaxy,,,,,,,,,,,
KOI-1257,2,1,65.961,Mayall's Object,,,,,,,,,,,
KOI-13,3,1,106.981,Fireworks Galaxy,,,,,,,,,,,
KOI-142,1,3,134.806,Blinking Galaxy,,,,,,,,,,,
KOI-1599,1,2,25.458,Helix Galaxy,,,,,,,,,,,
KOI-1783,1,2,269.982,Spider Galaxy,,,,,,,,,,,
Kepler-324,1,4,51.713,Coma Pinwheel Galaxy,,,,,,,,,,,
Kepler-968,1,3,105.971,Mayall's Object,,,,,,,,,,,
