Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Planetary Type,Gravity Strength,Has Biosphere,Discovery Year,Star Name,ObjectType
K2-36 b,13.6,49.64,Ice Giant,High,0,2009,K2-36,P
K2-371 b,13.6,1.85,Garden World,Medium,1,2021,K2-371,P
K2-381 c,13.6,21.83,Ice Giant,High,0,2017,K2-381,P
K2-80 c,13.6,7.03,Proto Planet,Low,1,2003,K2-80,P
KIC 8540376 b,13.6,111.74,Gas Giant,High,0,2011,KOI-7892,P
KMT-2017-BLG-0428L b,13.6,28.25,Gas Giant,High,0,2022,KMT-2017-BLG-0428L,P
KMT-2017-BLG-1194L b,13.6,114.89,Dwarf Planet,Low,1,2006,KMT-2017-BLG-1194L,P
KMT-2023-BLG-0735L b,13.6,116.42,Dwarf Planet,Low,1,2006,KMT-2023-BLG-0735L,P
KOI-2513.01,13.6,87.7,Proto Planet,Low,1,2009,KOI-2513,P
Kepler-102 d,13.6,8.8,Gas Giant,High,0,2024,Kepler-102,P
OGLE-2012-BLG-0950L b,13.6,3.91,Ice Giant,High,0,2022,OGLE-2012-BLG-0950L,P
OGLE-2017-BLG-1806L b,13.6,69.88,Dwarf Planet,Low,1,2023,OGLE-2017-BLG-1806L,P
OGLE-2018-BLG-0506L b,13.6,109.77,Dwarf Planet,Low,1,2022,OGLE-2018-BLG-0506L,P
OGLE-2018-BLG-0567L b,13.6,92.44,Ice Giant,High,0,2023,OGLE-2018-BLG-0567L,P
HAT-P-28 b,13.585,122.01,Proto Planet,Low,1,2011,HAT-P-28,P
HATS-13 b,13.585,71.19,Ice Giant,High,0,2015,HATS-13,P
HAT-P-5 b,13.563,3.33,Proto Planet,Low,1,2007,HAT-P-5,P
Kepler-597 b,13.563,73.49,Chthonian Planet,Low,1,2017,Kepler-597,P
HATS-63 b,13.529,96.71,Ice Giant,High,0,2018,HATS-63,P
HAT-P-51 b,13.507,91.25,Proto Planet,Low,1,2015,HAT-P-51,P
16 Cyg B b,13.5,63.2,Dwarf Planet,Low,1,1996,16 Cyg,P
47 UMa d,13.5,70.61,Dwarf Planet,Low,1,2009,47 UMa,P
BD+48 740 b,13.5,54.19,Chthonian Planet,Low,1,2018,BD+48 740,P
BD+49 828 b,13.5,7.64,Garden World,Medium,1,2015,BD+49 828,P
GJ 317 c,13.5,20.37,Chthonian Planet,Low,1,2018,GJ 317,P
HD 100655 b,13.5,86.11,Gas Giant,High,0,2011,HD 100655,P
HD 102329 c,13.5,111.27,Gas Giant,High,0,2018,HD 102329,P
HIP 38594 c,13.5,48.15,Proto Planet,Low,1,2002,HIP 38594,P
HIP 63242 b,13.5,8.48,Garden World,Medium,1,1999,HIP 63242,P
HN Peg b,13.5,64.71,Proto Planet,Low,1,2003,HN Peg,P
K2-137 b,13.5,87.5,Ice Giant,High,0,2011,K2-137,P
K2-181 b,13.5,99.93,Garden World,Medium,1,1999,K2-181,P
K2-187 b,13.5,10.45,Ice Giant,High,0,2009,K2-187,P
K2-223 b,13.5,90.39,Proto Planet,Low,1,2010,K2-223,P
K2-293 b,13.5,49.9,Proto Planet,Low,1,2016,K2-293,P
K2-294 b,13.5,28.86,Gas Giant,High,0,2016,K2-294,P
K2-316 c,13.5,66.29,Gas Giant,High,0,2006,K2-316,P
K2-319 b,13.5,118.97,Dwarf Planet,Low,1,2018,K2-319,P
K2-342 b,13.5,36.9,Proto Planet,Low,1,2000,K2-342,P
K2-343 b,13.5,35.3,Dwarf Planet,Low,1,2012,K2-343,P
K2-352 c,13.5,66.17,Proto Planet,Low,1,2011,K2-352,P
K2-354 b,13.5,7.12,Gas Giant,High,0,2022,K2-354,P
K2-360 c,13.5,39.93,Dwarf Planet,Low,1,2011,EPIC 201595106,P
K2-378 b,13.5,4.58,Dwarf Planet,Low,1,2015,K2-378,P
K2-400 b,13.5,4.38,Proto Planet,Low,1,2007,K2-400,P
K2-401 b,13.5,10.75,Dwarf Planet,Low,1,2017,K2-401,P
K2-414 b,13.5,117.63,Chthonian Planet,Low,1,2004,K2-414,P
K2-46 b,13.5,78.4,Gas Giant,High,0,2016,K2-46,P
K2-49 b,13.5,85.62,Chthonian Planet,Low,1,2008,K2-49,P
K2-52 b,13.5,102.96,Gas Giant,High,0,2018,K2-52,P
K2-54 b,13.5,86.41,Ice Giant,High,0,2005,K2-54,P
K2-6 b,13.5,26.02,Proto Planet,Low,1,2007,K2-6,P
K2-83 c,13.5,74.04,Gas Giant,High,0,2021,K2-83,P
K2-85 b,13.5,83.05,Gas Giant,High,0,2009,K2-85,P
K2-99 b,13.5,115.82,Dwarf Planet,Low,1,2018,K2-99,P
KELT-17 b,13.5,1.84,Proto Planet,Low,1,2025,KELT-17,P
KELT-24 b,13.5,37.6,Proto Planet,Low,1,2003,KELT-24,P
KMT-2016-BLG-1820L b,13.5,91.62,Garden World,Medium,1,2007,KMT-2016-BLG-1820L,P
KMT-2016-BLG-2364L b,13.5,97.25,Proto Planet,Low,1,2003,KMT-2016-BLG-2364L,P
KMT-2021-BLG-2609L b,13.5,52.83,Ice Giant,High,0,2016,KMT-2021-BLG-2609L,P
KOI-984 b,13.5,110.12,Chthonian Planet,Low,1,2015,KOI-984,P
Kepler-10 c,13.5,112.03,Proto Planet,Low,1,2021,Kepler-10,P
MXB 1658-298 b,13.451,83.6,Dwarf Planet,Low,1,2016,MXB 1658-298,P
HAT-P-34 b,13.417,99.59,Ice Giant,High,0,2011,HAT-P-34,P
24 Sex b,13.4,2.51,Dwarf Planet,Low,1,2010,24 Sex,P
2MASS J19383260+4603591 b,13.4,27.75,Ice Giant,High,0,2015,2MASS J19383260+4603591,P
51 Eri b,13.4,59.54,Dwarf Planet,Low,1,2015,51 Eri,P
6 Lyn b,13.4,84.64,Dwarf Planet,Low,1,2008,6 Lyn,P
7 CMa b,13.4,35.35,Gas Giant,High,0,2011,7 CMa,P
HD 96700 b,13.4,18.14,Garden World,Medium,1,2018,HD 96700,P
HD 99109 b,13.4,96.75,Proto Planet,Low,1,2004,HD 99109,P
HIP 29442 c,13.4,18.54,Dwarf Planet,Low,1,2015,HD 42813,P
HIP 35173 b,13.4,61.14,Ice Giant,High,0,2002,HIP 35173,P
HIP 41378 e,13.4,101.39,Dwarf Planet,Low,1,2011,HIP 41378,P
HIP 86221 b,13.4,66.53,Gas Giant,High,0,2022,HIP 86221,P
HR 8799 b,13.4,58.56,Chthonian Planet,Low,1,2015,HR 8799,P
HR 8799 e,13.4,76.51,Ice Giant,High,0,2009,HR 8799,P
K2-114 b,13.4,67.12,Proto Planet,Low,1,2011,K2-114,P
K2-141 b,13.4,95.24,Proto Planet,Low,1,2013,K2-141,P
K2-174 b,13.4,34.81,Dwarf Planet,Low,1,2008,K2-174,P
K2-198 b,13.4,58.33,Dwarf Planet,Low,1,2008,K2-198,P
K2-202 b,13.4,79.69,Proto Planet,Low,1,2003,K2-202,P
K2-204 b,13.4,88.93,Ice Giant,High,0,2007,K2-204,P
K2-21 c,13.4,96.56,Proto Planet,Low,1,2022,K2-21,P
K2-214 b,13.4,42.02,Dwarf Planet,Low,1,2007,K2-214,P
K2-239 b,13.4,68.22,Garden World,Medium,1,2009,K2-239,P
K2-295 b,13.4,83.51,Gas Giant,High,0,2011,K2-295,P
K2-31 b,13.4,31.8,Proto Planet,Low,1,2022,K2-31,P
K2-37 d,13.4,4.86,Proto Planet,Low,1,2015,K2-37,P
K2-377 b,13.4,20.29,Ice Giant,High,0,2015,K2-377,P
K2-407 c,13.4,19.28,Garden World,Medium,1,2009,K2-407,P
K2-43 c,13.4,81.03,Ice Giant,High,0,2012,K2-43,P
K2-45 b,13.4,19.65,Ice Giant,High,0,2016,K2-45,P
K2-80 d,13.4,3.94,Proto Planet,Low,1,2013,K2-80,P
K2-88 b,13.4,118.67,Dwarf Planet,Low,1,2001,K2-88,P
KMT-2016-BLG-2397L b,13.4,122.3,Proto Planet,Low,1,2003,KMT-2016-BLG-2397L,P
KMT-2017-BLG-1038L b,13.4,22.76,Gas Giant,High,0,2002,KMT-2017-BLG-1038L,P
KMT-2018-BLG-1988L b,13.4,89.33,Proto Planet,Low,1,2009,KMT-2018-BLG-1988L,P
KMT-2019-BLG-0371L b,13.4,86.31,Dwarf Planet,Low,1,2005,KMT-2019-BLG-0371L,P
KMT-2019-BLG-1715L b,13.4,56.23,Dwarf Planet,Low,1,2009,KMT-2019-BLG-1715L,P
KMT-2021-BLG-1253L b,13.4,96.66,Garden World,Medium,1,2011,KMT-2021-BLG-1253L,P
KMT-2021-BLG-2478L b,13.4,7.38,Proto Planet,Low,1,2015,KMT-2021-BLG-2478L,P
KMT-2022-BLG-1013L b,13.4,91.72,Dwarf Planet,Low,1,2021,KMT-2022-BLG-1013L,P
Kepler-100 d,13.4,117.85,Dwarf Planet,Low,1,2009,Kepler-100,P
Kepler-1003 b,13.4,63.27,Ice Giant,High,0,2021,Kepler-1003,P
NGTS-4 b,13.4,31.42,Garden World,Medium,1,2021,NGTS-4,P
NSVS 14256825 b,13.4,57.78,Gas Giant,High,0,2021,NSVS 14256825,P
OGLE-2012-BLG-0358L b,13.4,34.25,Gas Giant,High,0,2019,OGLE-2012-BLG-0358L,P
OGLE-2012-BLG-0724L b,13.4,17.54,Dwarf Planet,Low,1,2021,OGLE-2012-BLG-0724L,P
OGLE-2013-BLG-0132L b,13.4,83.59,Proto Planet,Low,1,2022,OGLE-2013-BLG-0132L,P
OGLE-2015-BLG-0954L b,13.4,72.14,Dwarf Planet,Low,1,2023,OGLE-2015-BLG-0954L,P
HATS-61 b,13.395,115.43,Dwarf Planet,Low,1,2018,HATS-61,P
HATS-28 b,13.384,45.84,Chthonian Planet,Low,1,2016,HATS-28,P
CoRoT-4 b,13.34,70.22,Dwarf Planet,Low,1,2008,CoRoT-4,P
Kepler-76 b,13.339,71.63,Garden World,Medium,1,2016,Kepler-76,P
75 Cet b,13.3,10.73,Gas Giant,High,0,2012,75 Cet,P
GJ 317 b,13.3,15.22,Chthonian Planet,Low,1,2007,GJ 317,P
GJ 328 b,13.3,90.84,Proto Planet,Low,1,2013,GJ 328,P
GJ 876 b,13.3,76.01,Proto Planet,Low,1,1998,GJ 876,P
GJ 896 A b,13.3,39.37,Proto Planet,Low,1,2022,GJ 896,P
HAT-P-11 c,13.3,79.97,Dwarf Planet,Low,1,2018,HAT-P-11,P
HD 103774 b,13.3,8.35,Dwarf Planet,Low,1,2013,HD 103774,P
HD 108341 b,13.3,62.38,Proto Planet,Low,1,2014,HD 108341,P
HD 108863 b,13.3,98.1,Garden World,Medium,1,2011,HD 108863,P
HIP 34222 b,13.3,11.71,Chthonian Planet,Low,1,2000,HIP 34222,P
HIP 41378 c,13.3,45.17,Chthonian Planet,Low,1,2009,HIP 41378,P
HIP 54373 c,13.3,73.83,Proto Planet,Low,1,2016,HIP 54373,P
HIP 65407 b,13.3,72.79,Dwarf Planet,Low,1,2023,HIP 65407,P
HIP 67537 b,13.3,91.12,Chthonian Planet,Low,1,2009,HIP 67537,P
ITG 15 b,13.3,38.04,Proto Planet,Low,1,2016,ITG 15,P
K2-108 b,13.3,120.42,Proto Planet,Low,1,2022,K2-108,P
K2-110 b,13.3,68.34,Garden World,Medium,1,2012,K2-110,P
K2-126 b,13.3,37.78,Dwarf Planet,Low,1,2004,K2-126,P
K2-141 c,13.3,60.37,Chthonian Planet,Low,1,2006,K2-141,P
K2-154 b,13.3,77.15,Gas Giant,High,0,2010,K2-154,P
K2-156 b,13.3,22.42,Proto Planet,Low,1,2005,K2-156,P
K2-184 b,13.3,110.88,Ice Giant,High,0,2018,K2-184,P
K2-259 b,13.3,119.18,Gas Giant,High,0,2009,K2-259,P
K2-335 b,13.3,70.96,Proto Planet,Low,1,2020,K2-335,P
K2-353 b,13.3,64.3,Gas Giant,High,0,2009,K2-353,P
K2-402 b,13.3,55.96,Proto Planet,Low,1,2001,K2-402,P
K2-403 b,13.3,35.75,Gas Giant,High,0,2014,K2-403,P
K2-7 b,13.3,23.13,Chthonian Planet,Low,1,2008,K2-7,P
K2-72 c,13.3,120.79,Chthonian Planet,Low,1,2006,K2-72,P
KELT-2 A b,13.3,24.88,Proto Planet,Low,1,2005,KELT-2,P
KMT-2016-BLG-2321L b,13.3,5.13,Proto Planet,Low,1,2011,KMT-2016-BLG-2321L,P
KMT-2021-BLG-1105L b,13.3,34.73,Proto Planet,Low,1,2019,KMT-2021-BLG-1105L,P
KMT-2021-BLG-1372L b,13.3,82.16,Gas Giant,High,0,2018,KMT-2021-BLG-1372L,P
KOI-351 c,13.3,115.86,Ice Giant,High,0,2023,KOI-351,P
Kepler-10 b,13.3,7.58,Gas Giant,High,0,2016,Kepler-10,P
OGLE-2006-BLG-284L A b,13.3,19.33,Gas Giant,High,0,2019,OGLE-2006-BLG-284L,P
OGLE-2014-BLG-0221L b,13.3,52.07,Dwarf Planet,Low,1,2021,OGLE-2014-BLG-0221L,P
HATS-43 b,13.227,95.87,Gas Giant,High,0,2018,HATS-43,P
HAT-P-37 b,13.204,16.49,Proto Planet,Low,1,2011,HAT-P-37,P
47 UMa b,13.2,73.42,Gas Giant,High,0,1996,47 UMa,P
HD 103891 b,13.2,0.45,Proto Planet,Low,1,2022,HD 103891,P
HD 109286 b,13.2,14.92,Gas Giant,High,0,2021,HD 109286,P
HD 95338 b,13.2,12.36,Gas Giant,High,0,2010,HD 95338,P
HIP 116454 b,13.2,19.74,Proto Planet,Low,1,2016,HIP 116454,P
HIP 14810 d,13.2,103.01,Proto Planet,Low,1,2007,HIP 14810,P
HIP 79431 b,13.2,28.89,Garden World,Medium,1,2009,HIP 79431,P
HR 858 c,13.2,28.68,Ice Giant,High,0,2010,HR 858,P
K2-11 b,13.2,8.74,Dwarf Planet,Low,1,2011,K2-11,P
K2-113 b,13.2,41.24,Chthonian Planet,Low,1,2009,K2-113,P
K2-121 b,13.2,70.94,Proto Planet,Low,1,2008,K2-121,P
K2-127 b,13.2,61.87,Proto Planet,Low,1,2014,K2-127,P
K2-16 b,13.2,5.5,Garden World,Medium,1,2016,K2-16,P
K2-162 b,13.2,3.61,Ice Giant,High,0,2023,K2-162,P
K2-17 b,13.2,86.68,Dwarf Planet,Low,1,2000,K2-17,P
K2-172 b,13.2,87.21,Dwarf Planet,Low,1,2007,K2-172,P
K2-187 d,13.2,72.03,Dwarf Planet,Low,1,2009,K2-187,P
K2-219 c,13.2,103.52,Dwarf Planet,Low,1,2007,K2-219,P
K2-274 b,13.2,57.87,Proto Planet,Low,1,2005,K2-274,P
K2-316 b,13.2,43.11,Dwarf Planet,Low,1,2001,K2-316,P
K2-37 c,13.2,43.81,Gas Giant,High,0,2009,K2-37,P
K2-384 f,13.2,14.12,Proto Planet,Low,1,2004,K2-384,P
K2-397 b,13.2,43.58,Dwarf Planet,Low,1,2017,K2-397,P
K2-398 c,13.2,73.37,Dwarf Planet,Low,1,2004,K2-398,P
K2-411 b,13.2,73.44,Ice Giant,High,0,2007,K2-411,P
K2-55 b,13.2,119.29,Proto Planet,Low,1,2019,K2-55,P
K2-8 c,13.2,90.72,Gas Giant,High,0,2022,K2-8,P
KELT-1 b,13.2,104.36,Proto Planet,Low,1,2002,KELT-1,P
KELT-18 b,13.2,41.85,Garden World,Medium,1,2025,KELT-18,P
KIC 10001893 c,13.2,0.88,Gas Giant,High,0,2007,KIC 10001893,P
KMT-2022-BLG-0303L b,13.2,80.9,Proto Planet,Low,1,2016,KMT-2022-BLG-0303L,P
KMT-2023-BLG-0416L b,13.2,22.1,Dwarf Planet,Low,1,2010,KMT-2023-BLG-0416L,P
OGLE-2008-BLG-355L b,13.2,36.01,Garden World,Medium,1,2020,OGLE-2008-BLG-355L,P
OGLE-2016-BLG-1227L b,13.2,121.36,Garden World,Medium,1,2021,OGLE-2016-BLG-1227L,P
HATS-30 b,13.171,70.66,Ice Giant,High,0,2016,HATS-30,P
HAT-P-29 b,13.115,97.99,Chthonian Planet,Low,1,2011,HAT-P-29,P
Kepler-102 c,13.115,68.55,Ice Giant,High,0,2010,Kepler-102,P
CoRoT-16 b,13.11,3.27,Proto Planet,Low,1,2011,CoRoT-16,P
14 And b,13.1,96.02,Dwarf Planet,Low,1,2008,14 And,P
81 Cet b,13.1,81.25,Proto Planet,Low,1,2008,81 Cet,P
91 Aqr b,13.1,52.17,Ice Giant,High,0,2013,91 Aqr,P
AF Lep b,13.1,47.78,Chthonian Planet,Low,1,2023,AF Lep,P
GJ 3021 b,13.1,61.44,Chthonian Planet,Low,1,2000,GJ 3021,P
HAT-P-17 c,13.1,112.46,Garden World,Medium,1,2010,HAT-P-17,P
HD 102843 b,13.1,82.5,Proto Planet,Low,1,2019,HD 102843,P
HD 108202 b,13.1,107.51,Gas Giant,High,0,2023,HD 108202,P
HD 94834 b,13.1,81.07,Proto Planet,Low,1,2023,HD 94834,P
HD 95089 b,13.1,20.09,Proto Planet,Low,1,2013,HD 95089,P
HIP 41378 f,13.1,63.99,Garden World,Medium,1,2018,HIP 41378,P
HN Lib b,13.1,41.17,Chthonian Planet,Low,1,2011,HN Lib,P
K2-169 b,13.1,92.83,Dwarf Planet,Low,1,2023,K2-169,P
K2-185 b,13.1,78.51,Gas Giant,High,0,2018,K2-185,P
K2-19 c,13.1,74.3,Gas Giant,High,0,2004,K2-19,P
K2-198 c,13.1,19.43,Ice Giant,High,0,2011,K2-198,P
K2-229 b,13.1,88.46,Proto Planet,Low,1,2022,K2-229,P
K2-260 b,13.1,108.2,Ice Giant,High,0,2021,K2-260,P
K2-290 b,13.1,61.79,Dwarf Planet,Low,1,2016,K2-290,P
K2-290 c,13.1,9.07,Proto Planet,Low,1,2007,K2-290,P
K2-385 b,13.1,31.6,Chthonian Planet,Low,1,2012,K2-385,P
K2-44 b,13.1,4.26,Garden World,Medium,1,2012,K2-44,P
K2-84 b,13.1,42.93,Proto Planet,Low,1,2015,K2-84,P
K2-9 b,13.1,31.98,Gas Giant,High,0,2022,K2-9,P
KELT-19 A b,13.1,25.54,Proto Planet,Low,1,2002,KELT-19,P
KIC 10525077 b,13.1,4.42,Proto Planet,Low,1,2017,KIC 10525077,P
KMT-2020-BLG-0414L b,13.1,92.36,Chthonian Planet,Low,1,2018,KMT-2020-BLG-0414L,P
Kepler-1014 b,13.1,107.58,Proto Planet,Low,1,2019,Kepler-1014,P
OGLE-2005-BLG-390L b,13.1,114.34,Proto Planet,Low,1,2019,OGLE-2005-BLG-390L,P
CoRoT-6 b,13.068,77.09,Dwarf Planet,Low,1,2009,CoRoT-6,P
HATS-77 b,13.058,2.91,Garden World,Medium,1,2021,HATS-77,P
Kepler-82 b,13.024,57.05,Gas Giant,High,0,2022,Kepler-82,P
2M0437 b,13,83.81,Proto Planet,Low,1,2021,2MASS J04372171+2651014,P
42 Dra b,13,87.82,Proto Planet,Low,1,2008,42 Dra,P
55 Cnc d,13,81.69,Ice Giant,High,0,2002,55 Cnc,P
BD+20 274 b,13,118.54,Gas Giant,High,0,2012,BD+20 274,P
CI Tau c,13,61.78,Gas Giant,High,0,2024,CI Tau,P
GJ 463 b,13,60.59,Ice Giant,High,0,2022,GJ 463,P
GJ 504 b,13,41.57,Ice Giant,High,0,2013,GJ 504,P
HAT-P-44 c,13,45.43,Dwarf Planet,Low,1,2014,HAT-P-44,P
HIP 39017 b,13,69.2,Dwarf Planet,Low,1,2005,HIP 39017,P
K2-147 b,13,0.23,Gas Giant,High,0,2015,K2-147,P
K2-160 b,13,90.98,Gas Giant,High,0,2012,K2-160,P
K2-175 b,13,91.38,Ice Giant,High,0,2022,K2-175,P
K2-205 b,13,76.67,Gas Giant,High,0,2009,K2-205,P
K2-21 b,13,79.8,Dwarf Planet,Low,1,2022,K2-21,P
K2-216 b,13,80.07,Proto Planet,Low,1,1998,K2-216,P
K2-268 d,13,119.08,Ice Giant,High,0,2009,K2-268,P
K2-268 f,13,53.17,Dwarf Planet,Low,1,2002,K2-268,P
K2-329 b,13,66.81,Ice Giant,High,0,2006,K2-329,P
K2-350 b,13,49.74,Ice Giant,High,0,2010,K2-350,P
K2-381 d,13,121.6,Gas Giant,High,0,2016,K2-381,P
K2-43 b,13,62.83,Dwarf Planet,Low,1,2008,K2-43,P
K2-97 b,13,97.42,Gas Giant,High,0,2003,K2-97,P
KELT-14 b,13,47.22,Gas Giant,High,0,2008,KELT-14,P
KMT-2018-BLG-0748L b,13,68.03,Garden World,Medium,1,2016,KMT-2018-BLG-0748L,P
KMT-2019-BLG-0298L b,13,102.53,Chthonian Planet,Low,1,2000,KMT-2019-BLG-0298L,P
KMT-2019-BLG-0335L b,13,83.16,Ice Giant,High,0,2019,KMT-2019-BLG-0335L,P
KMT-2021-BLG-0240L b,13,73.68,Garden World,Medium,1,2015,KMT-2021-BLG-0240L,P
KMT-2023-BLG-0469L b,13,118.27,Garden World,Medium,1,2005,KMT-2023-BLG-0469L,P
Kepler-1018 b,13,19.14,Chthonian Planet,Low,1,2008,Kepler-1018,P
Kepler-1019 b,13,13.3,Chthonian Planet,Low,1,2008,Kepler-1019,P
Kepler-102 b,13,32.32,Proto Planet,Low,1,2008,Kepler-102,P
NGTS-24 b,13,65.94,Ice Giant,High,0,2015,NGTS-24,P
OGLE-2008-BLG-092L b,13,96.2,Dwarf Planet,Low,1,2020,OGLE-2008-BLG-092L,P
OGLE-2012-BLG-0026L b,13,7.88,Ice Giant,High,0,2022,OGLE-2012-BLG-0026L,P
OGLE-2016-BLG-1195L b,13,82.2,Proto Planet,Low,1,2022,OGLE-2016-BLG-1195L,P
HATS-60 b,12.924,10.33,Proto Planet,Low,1,2018,HATS-60,P
HATS-36 b,12.92,37.16,Gas Giant,High,0,2018,HATS-36,P
17 Sco b,12.9,60.37,Ice Giant,High,0,2020,17 Sco,P
2MASS J12073346-3932539 b,12.9,40,Proto Planet,Low,1,2004,2MASS J12073346-3932539,P
BD-210397 c,12.9,2.07,Dwarf Planet,Low,1,2023,BD-210397,P
GJ 86 b,12.9,93.03,Dwarf Planet,Low,1,1999,GJ 86,P
HD 102272 b,12.9,79.18,Dwarf Planet,Low,1,2008,HD 102272,P
HD 9446 b,12.9,20.87,Chthonian Planet,Low,1,2017,HD 9446,P
HD 9446 c,12.9,46.04,Gas Giant,High,0,2016,HD 9446,P
HD 95086 b,12.9,114.65,Gas Giant,High,0,2020,HD 95086,P
HD 96700 d,12.9,111.63,Ice Giant,High,0,2007,HD 96700,P
HIP 99770 b,12.9,53.53,Proto Planet,Low,1,2005,HIP 99770,P
HR 5183 b,12.9,17.06,Dwarf Planet,Low,1,2008,HR 5183,P
HR 858 d,12.9,6.56,Ice Giant,High,0,2021,HR 858,P
K2-2016-BLG-0005L b,12.9,12.03,Garden World,Medium,1,2022,K2-2016-BLG-0005L,P
K2-217 b,12.9,70.16,Ice Giant,High,0,2002,K2-217,P
K2-231 b,12.9,93.65,Dwarf Planet,Low,1,2010,K2-231,P
K2-346 b,12.9,106.44,Dwarf Planet,Low,1,2021,K2-346,P
K2-352 d,12.9,78.43,Dwarf Planet,Low,1,2017,K2-352,P
K2-398 b,12.9,86.14,Proto Planet,Low,1,2002,K2-398,P
K2-61 b,12.9,82.71,Ice Giant,High,0,2018,K2-61,P
K2-84 c,12.9,34.78,Proto Planet,Low,1,2015,K2-84,P
KMT-2018-BLG-2602L b,12.9,26.75,Dwarf Planet,Low,1,2023,KMT-2018-BLG-2602L,P
KMT-2019-BLG-2783L b,12.9,50,Gas Giant,High,0,2013,KMT-2019-BLG-2783L,P
KOI-94 b,12.9,43.53,Gas Giant,High,0,2023,KOI-94,P
KPS-1 b,12.9,81.46,Ice Giant,High,0,2009,KPS-1,P
Kepler-102 f,12.9,113.83,Ice Giant,High,0,2011,Kepler-102,P
OGLE-2006-BLG-109L c,12.9,81.87,Gas Giant,High,0,2018,OGLE-2006-BLG-109L,P
OGLE-2013-BLG-1761L b,12.9,116.01,Garden World,Medium,1,2020,OGLE-2013-BLG-1761L,P
OGLE-2014-BLG-0676L b,12.9,58.68,Proto Planet,Low,1,2019,OGLE-2014-BLG-0676L,P
OGLE-2015-BLG-1670L b,12.9,50.61,Dwarf Planet,Low,1,2022,OGLE-2015-BLG-1670L,P
HAT-P-22 b,12.89,104.4,Ice Giant,High,0,2010,HAT-P-22,P
BD-17 63 b,12.8,24.69,Dwarf Planet,Low,1,2008,BD-17 63,P
GJ 676 A b,12.8,32.53,Dwarf Planet,Low,1,2010,GJ 676,P
HD 104985 b,12.8,84.97,Ice Giant,High,0,2003,HD 104985,P
HD 10697 b,12.8,114.18,Proto Planet,Low,1,1999,HD 10697,P
HD 99283 b,12.8,35.69,Ice Giant,High,0,2015,HD 99283,P
HIP 48714 b,12.8,50.99,Gas Giant,High,0,2007,HIP 48714,P
HIP 65426 b,12.8,117.86,Dwarf Planet,Low,1,2022,HIP 65426,P
HIP 79098 AB b,12.8,90.19,Proto Planet,Low,1,2013,HIP 79098,P
HR 858 b,12.8,87.77,Proto Planet,Low,1,2008,HR 858,P
IRAS 04125+2902 b,12.8,106.51,Proto Planet,Low,1,2016,TOI-6963,P
K2-101 b,12.8,7.8,Chthonian Planet,Low,1,2018,K2-101,P
K2-111 c,12.8,14.67,Ice Giant,High,0,2022,K2-111,P
K2-125 b,12.8,119.17,Ice Giant,High,0,2008,K2-125,P
K2-131 b,12.8,121.16,Proto Planet,Low,1,2022,K2-131,P
K2-133 b,12.8,37.17,Garden World,Medium,1,2022,K2-133,P
K2-151 b,12.8,110.33,Chthonian Planet,Low,1,2009,K2-151,P
K2-254 c,12.8,120.52,Chthonian Planet,Low,1,2021,K2-254,P
K2-26 b,12.8,24.64,Dwarf Planet,Low,1,2001,K2-26,P
K2-3 b,12.8,0.28,Dwarf Planet,Low,1,2024,K2-3,P
K2-324 b,12.8,65.88,Chthonian Planet,Low,1,2018,K2-324,P
K2-325 b,12.8,52.39,Proto Planet,Low,1,2009,K2-325,P
K2-349 b,12.8,6.97,Dwarf Planet,Low,1,2001,K2-349,P
K2-356 b,12.8,54.07,Chthonian Planet,Low,1,2022,K2-356,P
K2-57 b,12.8,46.73,Proto Planet,Low,1,2002,K2-57,P
K2-62 b,12.8,118.07,Garden World,Medium,1,2016,K2-62,P
K2-64 b,12.8,65.1,Gas Giant,High,0,2022,K2-64,P
K2-81 b,12.8,85.07,Gas Giant,High,0,2012,K2-81,P
K2-95 b,12.8,84.59,Garden World,Medium,1,2007,K2-95,P
KELT-11 b,12.8,112.21,Dwarf Planet,Low,1,2016,KELT-11,P
KELT-15 b,12.8,15.34,Gas Giant,High,0,2022,KELT-15,P
KELT-8 b,12.8,65.66,Chthonian Planet,Low,1,2023,KELT-8,P
KIC 10001893 b,12.8,61.74,Proto Planet,Low,1,2018,KIC 10001893,P
KMT-2016-BLG-0212L b,12.8,85.58,Dwarf Planet,Low,1,2021,KMT-2016-BLG-0212L,P
KMT-2016-BLG-1105L b,12.8,4.6,Gas Giant,High,0,2022,KMT-2016-BLG-1105L,P
KMT-2018-BLG-1025L b,12.8,25.09,Chthonian Planet,Low,1,2009,KMT-2018-BLG-1025L,P
KMT-2021-BLG-0171L b,12.8,100.02,Gas Giant,High,0,2021,KMT-2021-BLG-0171L,P
KMT-2021-BLG-1898L b,12.8,120.15,Gas Giant,High,0,2018,KMT-2021-BLG-1898L,P
KOI-7913 b,12.8,80.18,Dwarf Planet,Low,1,2015,KOI-7913,P
Kepler-102 e,12.8,20.28,Proto Planet,Low,1,2011,Kepler-102,P
Kepler-769 c,12.8,69.34,Proto Planet,Low,1,2023,Kepler-769,P
OGLE-2017-BLG-0482L b,12.8,12.93,Dwarf Planet,Low,1,2022,OGLE-2017-BLG-0482L,P
HATS-57 b,12.767,112.63,Dwarf Planet,Low,1,2019,HATS-57,P
HAT-P-25 b,12.722,90.2,Chthonian Planet,Low,1,2010,HAT-P-25,P
