Phylum,Planet Name,Biome
Arthropoda,K2-325 b,Desert
Mollusca,K2-326 b,Temperate
Chordata,K2-329 b,Desert
Chordata,K2-33 b,Nemoral
Platyhelminthes,K2-330 b,Tropical
Cnidaria,K2-331 b,Desert
Cnidaria,K2-331 c,Swamp
Angiospermae,K2-332 b,Boreal
Pteridophyta,K2-333 b,Marshland
Cnidaria,K2-334 b,Scarlet
Porifera,K2-335 b,Alpine
Bryophyta,K2-336 b,Marshland
Mollusca,K2-337 b,Tropical
Cnidaria,K2-338 b,Nemoral
Mollusca,K2-339 b,Alpine
Platyhelminthes,K2-34 b,Scarlet
Arthropoda,K2-340 b,Desert
Annelida,K2-341 b,Tropical
Nematoda,K2-342 b,Desert
Chordata,K2-343 b,Swamp
Arthropoda,K2-343 c,Swamp
Bryophyta,K2-344 b,Boreal
Cnidaria,K2-345 b,Alpine
Annelida,K2-346 b,Scarlet
Pteridophyta,K2-347 b,Boreal
Echinodermata,K2-348 b,Nemoral
Bryophyta,K2-348 c,Swamp
Cnidaria,K2-349 b,Tropical
Echinodermata,K2-35 b,Nemoral
Annelida,K2-35 c,Tundra
Porifera,K2-350 b,Scarlet
Chordata,K2-350 c,Marshland
Annelida,K2-351 b,Tropical
Angiospermae,K2-352 b,Boreal
Nematoda,K2-352 c,Scarlet
Cnidaria,K2-352 d,Scarlet
Echinodermata,K2-353 b,Boreal
Annelida,K2-354 b,Scarlet
Annelida,K2-355 b,Alpine
Angiospermae,K2-356 b,Swamp
Bryophyta,K2-357 b,Swamp
Mollusca,K2-358 b,Desert
Nematoda,K2-36 b,Scarlet
Annelida,K2-36 c,Temperate
Cnidaria,K2-360 c,Alpine
Arthropoda,K2-365 b,Alpine
Platyhelminthes,K2-366 b,Scarlet
Pteridophyta,K2-367 b,Alpine
Platyhelminthes,K2-368 b,Nemoral
Nematoda,K2-368 c,Alpine
Pteridophyta,K2-368 d,Nemoral
Platyhelminthes,K2-369 b,Tundra
Bryophyta,K2-37 b,Boreal
Arthropoda,K2-37 c,Tropical
Echinodermata,K2-37 d,Swamp
Platyhelminthes,K2-370 b,Boreal
Nematoda,K2-371 b,Tropical
Bryophyta,K2-372 b,Swamp
Platyhelminthes,K2-373 b,Marshland
Pteridophyta,K2-374 b,Desert
Arthropoda,K2-374 c,Tundra
Nematoda,K2-375 b,Tundra
Pteridophyta,K2-376 b,Alpine
Porifera,K2-377 b,Boreal
Arthropoda,K2-378 b,Desert
Chordata,K2-379 b,Scarlet
Platyhelminthes,K2-38 b,Desert
Platyhelminthes,K2-38 c,Boreal
Chordata,K2-380 b,Marshland
Pteridophyta,K2-381 b,Tundra
Echinodermata,K2-381 c,Swamp
Arthropoda,K2-381 d,Boreal
Echinodermata,K2-382 b,Boreal
Arthropoda,K2-383 b,Tropical
Porifera,K2-384 b,Swamp
Chordata,K2-384 c,Tropical
Mollusca,K2-384 d,Desert
Echinodermata,K2-384 e,Marshland
Annelida,K2-384 f,Scarlet
Mollusca,K2-385 b,Desert
Echinodermata,K2-386 b,Scarlet
Chordata,K2-387 b,Scarlet
Echinodermata,K2-388 b,Alpine
Angiospermae,K2-389 b,Boreal
Nematoda,K2-389 c,Tropical
Cnidaria,K2-39 b,Tropical
Nematoda,K2-390 b,Tundra
Mollusca,K2-391 b,Marshland
Platyhelminthes,K2-392 b,Tropical
Pteridophyta,K2-393 b,Boreal
Porifera,K2-394 b,Alpine
Chordata,K2-395 b,Tundra
Chordata,K2-395 c,Boreal
Mollusca,K2-396 b,Swamp
Platyhelminthes,K2-396 c,Swamp
Arthropoda,K2-397 b,Scarlet
Platyhelminthes,K2-398 b,Marshland
Arthropoda,K2-398 c,Swamp
Nematoda,K2-4 b,Marshland
Nematoda,K2-400 b,Boreal
Echinodermata,K2-401 b,Swamp
Annelida,K2-402 b,Tropical
Bryophyta,K2-403 b,Marshland
Cnidaria,K2-404 b,Desert
Nematoda,K2-405 b,Tundra
Nematoda,K2-406 b,Alpine
Arthropoda,K2-407 b,Scarlet
Nematoda,K2-407 c,Boreal
Mollusca,K2-408 b,Alpine
Platyhelminthes,K2-409 b,Tundra
Mollusca,K2-411 b,Desert
Porifera,K2-412 b,Swamp
Arthropoda,K2-413 b,Temperate
Platyhelminthes,K2-413 c,Swamp
Echinodermata,K2-414 b,Boreal
Mollusca,K2-414 c,Boreal
Porifera,K2-415 b,Alpine
Pteridophyta,K2-416 b,Alpine
Bryophyta,K2-417 b,Marshland
Arthropoda,K2-419 A b,Tropical
Arthropoda,K2-42 b,Marshland
Cnidaria,K2-43 b,Swamp
Mollusca,K2-43 c,Tundra
Echinodermata,K2-44 b,Marshland
Echinodermata,K2-45 b,Tundra
Pteridophyta,K2-46 b,Marshland
Annelida,K2-47 b,Swamp
Echinodermata,K2-48 b,Marshland
Chordata,K2-49 b,Scarlet
Nematoda,K2-5 b,Nemoral
Chordata,K2-5 c,Desert
Echinodermata,K2-50 b,Swamp
Pteridophyta,K2-52 b,Swamp
Annelida,K2-53 b,Tropical
Nematoda,K2-54 b,Nemoral
Nematoda,K2-55 b,Desert
Platyhelminthes,K2-57 b,Boreal
Bryophyta,K2-58 b,Scarlet
Bryophyta,K2-58 c,Temperate
Pteridophyta,K2-58 d,Temperate
Bryophyta,K2-59 b,Tropical
Chordata,K2-59 c,Alpine
Cnidaria,K2-6 b,Tropical
Pteridophyta,K2-60 b,Scarlet
Echinodermata,K2-61 b,Swamp
Nematoda,K2-62 b,Desert
Angiospermae,K2-62 c,Scarlet
Chordata,K2-63 b,Desert
Bryophyta,K2-63 c,Scarlet
Porifera,K2-64 b,Scarlet
Cnidaria,K2-65 b,Alpine
Porifera,K2-66 b,Marshland
Angiospermae,K2-68 b,Desert
Chordata,K2-69 b,Boreal
Arthropoda,K2-7 b,Scarlet
Chordata,K2-70 b,Alpine
Echinodermata,K2-71 b,Desert
Nematoda,K2-72 b,Temperate
Porifera,K2-72 c,Temperate
Bryophyta,K2-72 d,Swamp
Mollusca,K2-72 e,Desert
Bryophyta,K2-73 b,Tropical
Pteridophyta,K2-74 b,Desert
Chordata,K2-75 b,Scarlet
Porifera,K2-75 c,Alpine
Pteridophyta,K2-77 b,Marshland
Nematoda,K2-79 b,Scarlet
Chordata,K2-8 b,Alpine
Echinodermata,K2-8 c,Boreal
Chordata,K2-80 b,Marshland
Mollusca,K2-80 c,Tropical
Cnidaria,K2-80 d,Scarlet
Pteridophyta,K2-81 b,Boreal
Cnidaria,K2-83 b,Swamp
Arthropoda,K2-83 c,Marshland
Pteridophyta,K2-84 b,Desert
Cnidaria,K2-84 c,Tropical
Bryophyta,K2-85 b,Desert
Cnidaria,K2-86 b,Desert
Pteridophyta,K2-87 b,Boreal
Arthropoda,K2-88 b,Alpine
Bryophyta,K2-89 b,Marshland
Pteridophyta,K2-9 b,Boreal
Chordata,K2-90 b,Swamp
Arthropoda,K2-90 c,Marshland
Arthropoda,K2-91 b,Desert
Nematoda,K2-95 b,Alpine
Echinodermata,K2-97 b,Marshland
Echinodermata,K2-98 b,Swamp
Mollusca,K2-99 b,Tropical
Porifera,KELT-1 b,Swamp
Annelida,KELT-10 b,Boreal
Cnidaria,KELT-11 b,Swamp
Pteridophyta,KELT-12 b,Scarlet
Annelida,KELT-14 b,Tundra
Chordata,KELT-15 b,Boreal
Bryophyta,KELT-16 b,Boreal
Chordata,KELT-17 b,Nemoral
Mollusca,KELT-18 b,Swamp
Echinodermata,KELT-19 A b,Desert
Chordata,KELT-2 A b,Tundra
Echinodermata,KELT-20 b,Desert
Mollusca,KELT-21 b,Scarlet
Bryophyta,KELT-23 A b,Tropical
Nematoda,KELT-24 b,Desert
Arthropoda,KELT-3 b,Alpine
Pteridophyta,KELT-4 A b,Boreal
Nematoda,KELT-6 b,Tundra
Echinodermata,KELT-6 c,Swamp
Bryophyta,KELT-7 b,Nemoral
Chordata,KELT-8 b,Swamp
Mollusca,KELT-9 b,Desert
Porifera,KIC 10001893 b,Desert
Nematoda,KIC 10001893 c,Desert
Arthropoda,KIC 10001893 d,Alpine
Nematoda,KIC 10068024 b,Desert
Pteridophyta,KIC 10525077 b,Boreal
Arthropoda,KIC 3526061 b,Temperate
Annelida,KIC 3558849 b,Swamp
Nematoda,KIC 5437945 b,Tropical
Pteridophyta,KIC 5479689 b,Tundra
Pteridophyta,KIC 7917485 b,Tundra
Pteridophyta,KIC 8121913 b,Marshland
Cnidaria,KIC 8540376 b,Boreal
Bryophyta,KIC 8540376 c,Tropical
Pteridophyta,KIC 9663113 b,Swamp
Cnidaria,KMT-2016-BLG-0212L b,Alpine
Nematoda,KMT-2016-BLG-1105L b,Desert
Mollusca,KMT-2016-BLG-1107L b,Alpine
Pteridophyta,KMT-2016-BLG-1397L b,Scarlet
Cnidaria,KMT-2016-BLG-1820L b,Swamp
Bryophyta,KMT-2016-BLG-1836L b,Marshland
Annelida,KMT-2016-BLG-2142L b,Marshland
Cnidaria,KMT-2016-BLG-2321L b,Desert
Platyhelminthes,KMT-2016-BLG-2364L b,Desert
Arthropoda,KMT-2016-BLG-2397L b,Desert
Mollusca,KMT-2016-BLG-2605L b,Marshland
Pteridophyta,KMT-2017-BLG-0165L b,Swamp
Angiospermae,KMT-2017-BLG-0428L b,Tropical
Bryophyta,KMT-2017-BLG-0673L b,Alpine
Platyhelminthes,KMT-2017-BLG-1003L b,Nemoral
Echinodermata,KMT-2017-BLG-1038L b,Desert
Annelida,KMT-2017-BLG-1146L b,Boreal
Bryophyta,KMT-2017-BLG-1194L b,Temperate
Angiospermae,KMT-2017-BLG-2509L b,Tundra
Angiospermae,KMT-2018-BLG-0029L b,Swamp
Annelida,KMT-2018-BLG-0030L b,Tropical
Pteridophyta,KMT-2018-BLG-0087L b,Swamp
Angiospermae,KMT-2018-BLG-0247L b,Scarlet
Platyhelminthes,KMT-2018-BLG-0748L b,Alpine
Cnidaria,KMT-2018-BLG-0885L b,Nemoral
Echinodermata,KMT-2018-BLG-1025L b,Desert
Platyhelminthes,KMT-2018-BLG-1292L b,Scarlet
Annelida,KMT-2018-BLG-1743L b,Swamp
Bryophyta,KMT-2018-BLG-1976L b,Desert
Cnidaria,KMT-2018-BLG-1988L b,Scarlet
Platyhelminthes,KMT-2018-BLG-1990L b,Scarlet
Mollusca,KMT-2018-BLG-1996L b,Marshland
Mollusca,KMT-2018-BLG-2602L b,Alpine
Porifera,KMT-2019-BLG-0253L b,Tropical
Cnidaria,KMT-2019-BLG-0297L b,Boreal
Porifera,KMT-2019-BLG-0298L b,Tundra
Nematoda,KMT-2019-BLG-0335L b,Marshland
Chordata,KMT-2019-BLG-0371L b,Desert
Chordata,KMT-2019-BLG-0414L b,Swamp
Echinodermata,KMT-2019-BLG-0842L b,Desert
Chordata,KMT-2019-BLG-0953L b,Desert
Platyhelminthes,KMT-2019-BLG-1042L b,Temperate
Nematoda,KMT-2019-BLG-1216L b,Swamp
Arthropoda,KMT-2019-BLG-1339L b,Nemoral
Angiospermae,KMT-2019-BLG-1367L b,Scarlet
Porifera,KMT-2019-BLG-1552L b,Swamp
Angiospermae,KMT-2019-BLG-1715L b,Marshland
Chordata,KMT-2019-BLG-1806L b,Swamp
Nematoda,KMT-2019-BLG-1953L b,Boreal
Mollusca,KMT-2019-BLG-2783L b,Boreal
Porifera,KMT-2019-BLG-2974L b,Marshland
Platyhelminthes,KMT-2020-BLG-0414L b,Tropical
Cnidaria,KMT-2020-BLG-0414L c,Tundra
Pteridophyta,KMT-2021-BLG-0119L b,Nemoral
Mollusca,KMT-2021-BLG-0171L b,Scarlet
Mollusca,KMT-2021-BLG-0192L b,Tropical
Cnidaria,KMT-2021-BLG-0240L b,Boreal
Platyhelminthes,KMT-2021-BLG-0320L b,Alpine
Annelida,KMT-2021-BLG-0322L b,Boreal
Mollusca,KMT-2021-BLG-0712L b,Tundra
Cnidaria,KMT-2021-BLG-0748L b,Boreal
Nematoda,KMT-2021-BLG-0909L b,Temperate
Cnidaria,KMT-2021-BLG-0912L b,Desert
Mollusca,KMT-2021-BLG-1077L b,Tropical
Cnidaria,KMT-2021-BLG-1077L c,Swamp
Arthropoda,KMT-2021-BLG-1105L b,Tropical
Porifera,KMT-2021-BLG-1150L b,Marshland
Echinodermata,KMT-2021-BLG-1253L b,Boreal
Platyhelminthes,KMT-2021-BLG-1303L b,Marshland
Arthropoda,KMT-2021-BLG-1372L b,Tundra
Cnidaria,KMT-2021-BLG-1391L b,Marshland
Mollusca,KMT-2021-BLG-1547L b,Desert
Nematoda,KMT-2021-BLG-1554L b,Desert
Arthropoda,KMT-2021-BLG-1689L b,Nemoral
Arthropoda,KMT-2021-BLG-1770L b,Desert
Arthropoda,KMT-2021-BLG-1898L b,Scarlet
Bryophyta,KMT-2021-BLG-2010L b,Marshland
Angiospermae,KMT-2021-BLG-2294L b,Desert
Nematoda,KMT-2021-BLG-2478L b,Tundra
Bryophyta,KMT-2021-BLG-2609L b,Scarlet
Platyhelminthes,KMT-2022-BLG-0303L b,Scarlet
Annelida,KMT-2022-BLG-0371L b,Desert
Platyhelminthes,KMT-2022-BLG-0440L b,Temperate
Platyhelminthes,KMT-2022-BLG-1013L b,Swamp
Arthropoda,KMT-2022-BLG-2286L b,Boreal
Platyhelminthes,KMT-2023-BLG-0416L b,Desert
Nematoda,KMT-2023-BLG-0469L b,Marshland
Pteridophyta,KMT-2023-BLG-0735L b,Marshland
Echinodermata,KMT-2023-BLG-1431L b,Scarlet
Mollusca,KMT-2023-BLG-1454L b,Tundra
Arthropoda,KMT-2023-BLG-1642L b,Alpine
Cnidaria,KMT-2023-BLG-1743L b,Tropical
Nematoda,KMT-2023-BLG-1866L b,Alpine
Pteridophyta,KMT-2024-BLG-1044L b,Tundra
Echinodermata,KOI-12 b,Scarlet
Bryophyta,KOI-1257 b,Tropical
Annelida,KOI-13 b,Marshland
Nematoda,KOI-142 b,Swamp
Angiospermae,KOI-142 c,Scarlet
Pteridophyta,KOI-1599.01,Swamp
Nematoda,KOI-1599.02,Temperate
Echinodermata,KOI-1783.01,Scarlet
Annelida,KOI-1783.02,Tundra
Platyhelminthes,KOI-1831 d,Boreal
Porifera,KOI-1833 d,Tropical
Platyhelminthes,KOI-217 b,Marshland
Annelida,KOI-2513.01,Marshland
Porifera,KOI-3503 b,Tundra
Chordata,KOI-3503 c,Tropical
Cnidaria,KOI-351 b,Desert
Arthropoda,KOI-351 c,Scarlet
Mollusca,KOI-351 d,Temperate
Echinodermata,KOI-351 e,Marshland
Mollusca,KOI-351 f,Marshland
Annelida,KOI-351 g,Scarlet
Pteridophyta,KOI-351 h,Tropical
Pteridophyta,KOI-3680 b,Desert
Angiospermae,KOI-4777.01,Alpine
Porifera,KOI-4978 b,Nemoral
Annelida,KOI-55 b,Swamp
Chordata,KOI-55 c,Marshland
Angiospermae,KOI-7368 b,Temperate
Cnidaria,KOI-7913 b,Tundra
Pteridophyta,KOI-94 b,Scarlet
Nematoda,KOI-94 c,Scarlet
Pteridophyta,KOI-94 d,Swamp
Platyhelminthes,KOI-94 e,Scarlet
Porifera,KOI-984 b,Marshland
Nematoda,KOI-984 c,Scarlet
Chordata,KPS-1 b,Swamp
Echinodermata,Kapteyn c,Alpine
Chordata,Kepler-10 b,Nemoral
Chordata,Kepler-10 c,Tundra
Pteridophyta,Kepler-10 d,Desert
Bryophyta,Kepler-100 b,Swamp
Arthropoda,Kepler-100 c,Swamp
Mollusca,Kepler-100 d,Desert
Bryophyta,Kepler-100 e,Desert
Porifera,Kepler-1000 b,Tropical
Echinodermata,Kepler-1001 b,Swamp
Chordata,Kepler-1001 c,Desert
Bryophyta,Kepler-1002 b,Tundra
Annelida,Kepler-1003 b,Desert
Porifera,Kepler-1004 b,Boreal
Arthropoda,Kepler-1005 b,Nemoral
Annelida,Kepler-1006 b,Nemoral
Chordata,Kepler-1007 b,Tropical
Pteridophyta,Kepler-1008 b,Marshland
Arthropoda,Kepler-1009 b,Tropical
Cnidaria,Kepler-101 b,Marshland
Cnidaria,Kepler-101 c,Boreal
Chordata,Kepler-1010 b,Marshland
Cnidaria,Kepler-1011 b,Boreal
Echinodermata,Kepler-1012 b,Tropical
Cnidaria,Kepler-1013 b,Tropical
Cnidaria,Kepler-1014 b,Boreal
Nematoda,Kepler-1015 b,Boreal
Arthropoda,Kepler-1016 b,Desert
Platyhelminthes,Kepler-1016 c,Swamp
Annelida,Kepler-1017 b,Desert
Mollusca,Kepler-1018 b,Scarlet
Porifera,Kepler-1019 b,Nemoral
Mollusca,Kepler-102 b,Swamp
Arthropoda,Kepler-102 c,Tropical
Echinodermata,Kepler-102 d,Scarlet
Pteridophyta,Kepler-102 e,Boreal
Bryophyta,Kepler-102 f,Nemoral
Platyhelminthes,Kepler-1020 b,Swamp
Echinodermata,Kepler-1021 b,Tropical
Pteridophyta,Kepler-1022 b,Marshland
Mollusca,Kepler-1023 b,Scarlet
Cnidaria,Kepler-1024 b,Boreal
Chordata,Kepler-1025 b,Scarlet
Chordata,Kepler-1026 b,Tundra
Bryophyta,Kepler-1027 b,Scarlet
Chordata,Kepler-1028 b,Alpine
Cnidaria,Kepler-1029 b,Tundra
Bryophyta,Kepler-103 b,Scarlet
Pteridophyta,Kepler-103 c,Boreal
Arthropoda,Kepler-1030 b,Swamp
Cnidaria,Kepler-1031 b,Swamp
Platyhelminthes,Kepler-1032 b,Desert
Cnidaria,Kepler-1033 b,Scarlet
Chordata,Kepler-1034 b,Tropical
Cnidaria,Kepler-1035 b,Scarlet
Pteridophyta,Kepler-1036 b,Alpine
Bryophyta,Kepler-1037 b,Scarlet
Pteridophyta,Kepler-1038 b,Tropical
Cnidaria,Kepler-1038 c,Tundra
Platyhelminthes,Kepler-1039 b,Nemoral
Nematoda,Kepler-104 b,Alpine
Chordata,Kepler-104 c,Swamp
Arthropoda,Kepler-104 d,Nemoral
Arthropoda,Kepler-1040 b,Marshland
Chordata,Kepler-1041 b,Swamp
Arthropoda,Kepler-1042 b,Desert
Porifera,Kepler-1043 b,Scarlet
Bryophyta,Kepler-1044 b,Swamp
Chordata,Kepler-1045 b,Temperate
Angiospermae,Kepler-1046 b,Swamp
Bryophyta,Kepler-1047 b,Boreal
Mollusca,Kepler-1047 c,Scarlet
Arthropoda,Kepler-1048 b,Scarlet
Cnidaria,Kepler-1049 b,Boreal
Echinodermata,Kepler-105 b,Desert
Annelida,Kepler-105 c,Tundra
Porifera,Kepler-1050 b,Marshland
Bryophyta,Kepler-1050 c,Nemoral
Mollusca,Kepler-1051 b,Tropical
Echinodermata,Kepler-1052 b,Nemoral
Annelida,Kepler-1052 c,Desert
Bryophyta,Kepler-1053 b,Marshland
Nematoda,Kepler-1054 b,Marshland
Mollusca,Kepler-1055 b,Boreal
Nematoda,Kepler-1056 b,Marshland
Mollusca,Kepler-1057 b,Nemoral
Angiospermae,Kepler-1058 b,Boreal
Cnidaria,Kepler-1059 b,Swamp
Echinodermata,Kepler-106 b,Desert
Annelida,Kepler-106 c,Nemoral
Mollusca,Kepler-106 d,Boreal
Mollusca,Kepler-106 e,Marshland
Echinodermata,Kepler-1060 b,Marshland
Pteridophyta,Kepler-1061 b,Scarlet
Chordata,Kepler-1062 b,Alpine
Mollusca,Kepler-1063 b,Tropical
Cnidaria,Kepler-1064 b,Tropical
Cnidaria,Kepler-1065 b,Boreal
Bryophyta,Kepler-1065 c,Temperate
Pteridophyta,Kepler-1066 b,Desert
Annelida,Kepler-1067 b,Desert
Nematoda,Kepler-1067 c,Swamp
Echinodermata,Kepler-1068 b,Marshland
Nematoda,Kepler-1069 b,Alpine
Echinodermata,Kepler-107 b,Alpine
Bryophyta,Kepler-107 c,Swamp
Chordata,Kepler-107 d,Boreal
Porifera,Kepler-107 e,Boreal
Arthropoda,Kepler-1070 b,Boreal
Platyhelminthes,Kepler-1071 b,Tropical
Nematoda,Kepler-1072 b,Nemoral
Echinodermata,Kepler-1073 b,Desert
Platyhelminthes,Kepler-1073 c,Swamp
Mollusca,Kepler-1073 d,Tundra
Nematoda,Kepler-1074 b,Tundra
Mollusca,Kepler-1075 b,Desert
Arthropoda,Kepler-1076 b,Alpine
Angiospermae,Kepler-1077 b,Boreal
Mollusca,Kepler-1078 b,Alpine
Chordata,Kepler-1079 b,Tundra
Annelida,Kepler-108 b,Tundra
Cnidaria,Kepler-108 c,Boreal
Bryophyta,Kepler-1080 b,Swamp
Platyhelminthes,Kepler-1081 b,Desert
Echinodermata,Kepler-1082 b,Alpine
Annelida,Kepler-1083 b,Tropical
Annelida,Kepler-1084 b,Nemoral
Pteridophyta,Kepler-1085 b,Desert
Pteridophyta,Kepler-1085 c,Desert
Porifera,Kepler-1086 b,Desert
Annelida,Kepler-1086 c,Alpine
Nematoda,Kepler-1087 b,Tundra
Arthropoda,Kepler-1088 b,Swamp
Mollusca,Kepler-1089 b,Tropical
Echinodermata,Kepler-109 b,Marshland
Arthropoda,Kepler-109 c,Scarlet
Echinodermata,Kepler-1090 b,Swamp
Pteridophyta,Kepler-1090 c,Marshland
Platyhelminthes,Kepler-1091 b,Swamp
Porifera,Kepler-1092 b,Scarlet
Chordata,Kepler-1093 b,Marshland
Bryophyta,Kepler-1093 c,Nemoral
Chordata,Kepler-1094 b,Scarlet
Echinodermata,Kepler-1095 b,Alpine
Chordata,Kepler-1096 b,Tundra
Mollusca,Kepler-1097 b,Tundra
Platyhelminthes,Kepler-1098 b,Tropical
Arthropoda,Kepler-1099 b,Scarlet
Echinodermata,Kepler-11 b,Tropical
Arthropoda,Kepler-11 c,Swamp
Porifera,Kepler-11 d,Alpine
Porifera,Kepler-11 e,Desert
Chordata,Kepler-11 f,Tropical
Pteridophyta,Kepler-11 g,Marshland
Annelida,Kepler-110 b,Tropical
Cnidaria,Kepler-110 c,Nemoral
Arthropoda,Kepler-1100 b,Desert
Bryophyta,Kepler-1101 b,Desert
Pteridophyta,Kepler-1102 b,Tundra
Arthropoda,Kepler-1103 b,Alpine
Pteridophyta,Kepler-1104 b,Tundra
Cnidaria,Kepler-1105 b,Alpine
Pteridophyta,Kepler-1106 b,Scarlet
Pteridophyta,Kepler-1107 b,Swamp
Angiospermae,Kepler-1108 b,Swamp
Chordata,Kepler-1109 b,Desert
Echinodermata,Kepler-111 b,Tundra
Annelida,Kepler-111 c,Boreal
Platyhelminthes,Kepler-1110 b,Scarlet
Cnidaria,Kepler-1111 b,Alpine
Chordata,Kepler-1112 b,Desert
Echinodermata,Kepler-1113 b,Temperate
Pteridophyta,Kepler-1114 b,Marshland
Bryophyta,Kepler-1115 b,Desert
Echinodermata,Kepler-1116 b,Tropical
Nematoda,Kepler-1117 b,Marshland
Echinodermata,Kepler-1118 b,Scarlet
Pteridophyta,Kepler-1119 b,Nemoral
Pteridophyta,Kepler-112 b,Tropical
Pteridophyta,Kepler-112 c,Swamp
Angiospermae,Kepler-1120 b,Tropical
Bryophyta,Kepler-1121 b,Scarlet
Annelida,Kepler-1122 b,Tropical
Nematoda,Kepler-1123 b,Desert
Mollusca,Kepler-1124 b,Temperate
Pteridophyta,Kepler-1125 b,Alpine
Chordata,Kepler-1126 b,Swamp
Mollusca,Kepler-1126 c,Boreal
Pteridophyta,Kepler-1127 b,Scarlet
Nematoda,Kepler-1128 b,Tropical
Nematoda,Kepler-1129 b,Boreal
Echinodermata,Kepler-1129 c,Marshland
Cnidaria,Kepler-113 b,Tropical
Angiospermae,Kepler-113 c,Swamp
Chordata,Kepler-1130 b,Boreal
Nematoda,Kepler-1130 c,Scarlet
Cnidaria,Kepler-1130 d,Alpine
Porifera,Kepler-1131 b,Tundra
Cnidaria,Kepler-1132 b,Swamp
Arthropoda,Kepler-1133 b,Marshland
Chordata,Kepler-1134 b,Nemoral
Mollusca,Kepler-1135 b,Tundra
Cnidaria,Kepler-1136 b,Swamp
Arthropoda,Kepler-1137 b,Desert
Annelida,Kepler-1138 b,Temperate
Platyhelminthes,Kepler-1139 b,Marshland
Mollusca,Kepler-114 b,Boreal
Annelida,Kepler-114 c,Swamp
Bryophyta,Kepler-114 d,Marshland
Chordata,Kepler-1140 b,Tropical
Platyhelminthes,Kepler-1141 b,Scarlet
Pteridophyta,Kepler-1142 b,Boreal
Arthropoda,Kepler-1143 b,Swamp
Cnidaria,Kepler-1143 c,Alpine
Bryophyta,Kepler-1144 b,Marshland
Pteridophyta,Kepler-1145 b,Tundra
Chordata,Kepler-1146 b,Marshland
Annelida,Kepler-1147 b,Tropical
Platyhelminthes,Kepler-1148 b,Swamp
Platyhelminthes,Kepler-1149 b,Alpine
Arthropoda,Kepler-115 b,Alpine
Chordata,Kepler-115 c,Alpine
Nematoda,Kepler-1150 b,Swamp
Bryophyta,Kepler-1151 b,Scarlet
Nematoda,Kepler-1152 b,Tropical
Cnidaria,Kepler-1153 b,Tropical
Nematoda,Kepler-1154 b,Alpine
Echinodermata,Kepler-1154 c,Boreal
Chordata,Kepler-1155 b,Marshland
Arthropoda,Kepler-1156 b,Boreal
Chordata,Kepler-1157 b,Temperate
Chordata,Kepler-1158 b,Tropical
Nematoda,Kepler-1159 b,Tundra
Echinodermata,Kepler-116 b,Scarlet
Cnidaria,Kepler-116 c,Desert
Mollusca,Kepler-1160 b,Scarlet
Echinodermata,Kepler-1161 b,Marshland
Cnidaria,Kepler-1162 b,Boreal
Mollusca,Kepler-1162 c,Swamp
Arthropoda,Kepler-1163 b,Scarlet
Pteridophyta,Kepler-1164 b,Tundra
Platyhelminthes,Kepler-1165 b,Nemoral
Platyhelminthes,Kepler-1165 c,Desert
Mollusca,Kepler-1166 b,Tundra
Mollusca,Kepler-1167 b,Temperate
Echinodermata,Kepler-1168 b,Swamp
Mollusca,Kepler-1169 b,Nemoral
Annelida,Kepler-117 b,Marshland
Mollusca,Kepler-117 c,Tundra
Chordata,Kepler-1170 b,Alpine
Chordata,Kepler-1171 b,Alpine
Chordata,Kepler-1172 b,Temperate
Echinodermata,Kepler-1173 b,Alpine
Mollusca,Kepler-1174 b,Tropical
Porifera,Kepler-1175 b,Tropical
Bryophyta,Kepler-1176 b,Nemoral
Echinodermata,Kepler-1177 b,Marshland
Arthropoda,Kepler-1178 b,Tundra
Echinodermata,Kepler-1179 b,Tropical
Cnidaria,Kepler-118 b,Alpine
Arthropoda,Kepler-118 c,Marshland
Bryophyta,Kepler-1180 b,Swamp
Annelida,Kepler-1181 b,Swamp
Cnidaria,Kepler-1181 c,Boreal
Porifera,Kepler-1182 b,Tropical
Platyhelminthes,Kepler-1183 b,Scarlet
Bryophyta,Kepler-1184 b,Boreal
Nematoda,Kepler-1185 b,Tundra
Pteridophyta,Kepler-1186 b,Desert
Echinodermata,Kepler-1187 b,Temperate
Chordata,Kepler-1188 b,Tundra
Cnidaria,Kepler-1189 b,Scarlet
Pteridophyta,Kepler-119 b,Swamp
Echinodermata,Kepler-119 c,Swamp
Mollusca,Kepler-1190 b,Temperate
Echinodermata,Kepler-1191 b,Marshland
Nematoda,Kepler-1192 b,Tundra
Annelida,Kepler-1193 b,Desert
Annelida,Kepler-1194 b,Tropical
Chordata,Kepler-1195 b,Boreal
Pteridophyta,Kepler-1196 b,Boreal
Echinodermata,Kepler-1197 b,Scarlet
Echinodermata,Kepler-1198 b,Boreal
Annelida,Kepler-1199 b,Alpine
Platyhelminthes,Kepler-12 b,Marshland
Pteridophyta,Kepler-120 b,Swamp
Chordata,Kepler-120 c,Desert
Arthropoda,Kepler-1200 b,Scarlet
Chordata,Kepler-1201 b,Swamp
Chordata,Kepler-1202 b,Tundra
Pteridophyta,Kepler-1203 b,Desert
Platyhelminthes,Kepler-1204 b,Desert
Mollusca,Kepler-1205 b,Scarlet
Cnidaria,Kepler-1206 b,Tropical
Platyhelminthes,Kepler-1207 b,Desert
Nematoda,Kepler-1208 b,Nemoral
Arthropoda,Kepler-1209 b,Nemoral
