Star Name,Spectral Type,Stellar Radius [Solar Radius],Element Composition,Discovery Year,Host Name
K2-136,K5.5,0.68,Hydrogen,2017,K2-136
K2-136,K5.5,0.68,Hydrogen,2017,K2-136
K2-137,M3 V,0.29,Hydrogen,2017,K2-137
K2-138,G8 V,0.86,Hydrogen,2017,K2-138
K2-138,G8 V,0.86,Hydrogen,2017,K2-138
K2-138,G8 V,0.86,Hydrogen,2017,K2-138
K2-138,G8 V,0.86,Hydrogen,2017,K2-138
K2-138,G8 V,0.86,Hydrogen,2017,K2-138
K2-138,G8 V,0.86,Hydrogen,2017,K2-138
K2-139,K0 V,0.88,Hydrogen,2017,K2-139
K2-14,M0,0.45,Hydrogen,2015,K2-14
K2-140,G6 V,1.06,Hydrogen,2017,K2-140
K2-141,K7 V,0.68,Hydrogen,2018,K2-141
K2-141,K7 V,0.68,Hydrogen,2018,K2-141
K2-146,M3.0 V,0.33,Hydrogen,2018,K2-146
K2-146,M3.0 V,0.33,Hydrogen,2018,K2-146
K2-147,,0.57,Hydrogen,2018,K2-147
K2-148,,0.63,Hydrogen,2018,K2-148
K2-148,,0.63,Hydrogen,2018,K2-148
K2-148,,0.63,Hydrogen,2018,K2-148
K2-149,M1.0 V,0.57,Hydrogen,2018,K2-149
K2-15,G8,0.68,Hydrogen,2015,K2-15
K2-150,M2.5 V,0.44,Hydrogen,2018,K2-150
K2-151,M1.5 V,0.45,Hydrogen,2018,K2-151
K2-152,M0.0 V,0.61,Hydrogen,2018,K2-152
K2-153,M3.0 V,0.53,Hydrogen,2018,K2-153
K2-154,M0.0 V,0.63,Hydrogen,2018,K2-154
K2-154,M0.0 V,0.63,Hydrogen,2018,K2-154
K2-155,K7,0.58,Hydrogen,2018,K2-155
K2-155,K7,0.58,Hydrogen,2018,K2-155
K2-155,K7,0.58,Hydrogen,2018,K2-155
K2-156,,0.62,Hydrogen,2018,K2-156
K2-157,,0.88,Hydrogen,2018,K2-157
K2-158,,0.95,Hydrogen,2018,K2-158
K2-158,,0.95,Hydrogen,2018,K2-158
K2-159,,0.83,Hydrogen,2018,K2-159
K2-16,K3 V,0.66,Hydrogen,2019,K2-16
K2-16,K3 V,0.66,Hydrogen,2019,K2-16
K2-160,,0.91,Hydrogen,2018,K2-160
K2-161,,2.57,Hydrogen,2018,K2-161
K2-162,,0.69,Hydrogen,2018,K2-162
K2-163,,0.76,Hydrogen,2018,K2-163
K2-164,,2.2,Hydrogen,2018,K2-164
K2-165,,0.8,Hydrogen,2018,K2-165
K2-165,,0.8,Hydrogen,2018,K2-165
K2-165,,0.8,Hydrogen,2018,K2-165
K2-166,,1.61,Hydrogen,2019,K2-166
K2-167,,1.49,Hydrogen,2018,K2-167
K2-168,,0.83,Hydrogen,2019,K2-168
K2-169,,0.92,Hydrogen,2018,K2-169
K2-17,K7,0.66,Hydrogen,2015,K2-17
K2-170,,0.98,Hydrogen,2018,K2-170
K2-170,,0.98,Hydrogen,2018,K2-170
K2-171,,1.72,Hydrogen,2018,K2-171
K2-172,,0.87,Hydrogen,2018,K2-172
K2-172,,0.87,Hydrogen,2018,K2-172
K2-173,,0.84,Hydrogen,2018,K2-173
K2-174,,0.68,Hydrogen,2018,K2-174
K2-175,,1.42,Hydrogen,2018,K2-175
K2-176,,0.86,Hydrogen,2018,K2-176
K2-177,,1.21,Hydrogen,2018,K2-177
K2-178,,0.89,Hydrogen,2018,K2-178
K2-179,,0.77,Hydrogen,2018,K2-179
K2-18,M2.5 V,0.44,Hydrogen,2015,K2-18
K2-18,M2.5 V,0.44,Hydrogen,2015,K2-18
K2-180,,0.69,Hydrogen,2018,K2-180
K2-181,,1.07,Hydrogen,2018,K2-181
K2-182,,0.8,Hydrogen,2018,K2-182
K2-183,,0.87,Hydrogen,2018,K2-183
K2-183,,0.87,Hydrogen,2018,K2-183
K2-183,,0.87,Hydrogen,2018,K2-183
K2-184,,0.75,Hydrogen,2018,K2-184
K2-185,,0.94,Hydrogen,2018,K2-185
K2-185,,0.94,Hydrogen,2018,K2-185
K2-186,,0.98,Hydrogen,2018,K2-186
K2-187,,0.83,Hydrogen,2018,K2-187
K2-187,,0.83,Hydrogen,2018,K2-187
K2-187,,0.83,Hydrogen,2018,K2-187
K2-187,,0.83,Hydrogen,2018,K2-187
K2-188,,1.19,Hydrogen,2018,K2-188
K2-188,,1.19,Hydrogen,2018,K2-188
K2-189,,0.87,Hydrogen,2018,K2-189
K2-189,,0.87,Hydrogen,2018,K2-189
K2-19,G9 V,0.82,Hydrogen,2015,K2-19
K2-19,G9 V,0.82,Hydrogen,2015,K2-19
K2-19,G9 V,0.82,Hydrogen,2015,K2-19
K2-190,,0.91,Hydrogen,2018,K2-190
K2-190,,0.91,Hydrogen,2018,K2-190
K2-191,,0.84,Hydrogen,2018,K2-191
K2-192,,0.81,Hydrogen,2018,K2-192
K2-193,,0.98,Hydrogen,2018,K2-193
K2-194,,1.28,Hydrogen,2018,K2-194
K2-195,,0.99,Hydrogen,2018,K2-195
K2-195,,0.91,Hydrogen,2018,K2-195
K2-196,,1.54,Hydrogen,2018,K2-196
K2-197,,0.93,Hydrogen,2018,K2-197
K2-198,,0.76,Hydrogen,2018,K2-198
K2-198,,0.76,Hydrogen,2018,K2-198
K2-198,,0.76,Hydrogen,2018,K2-198
K2-199,,0.68,Hydrogen,2018,K2-199
K2-199,,0.68,Hydrogen,2018,K2-199
K2-200,,0.79,Hydrogen,2018,K2-200
K2-201,,0.88,Hydrogen,2018,K2-201
K2-201,,0.88,Hydrogen,2018,K2-201
K2-2016-BLG-0005L,,,Hydrogen,2023,K2-2016-BLG-0005L
K2-202,,0.91,Hydrogen,2018,K2-202
K2-203,,0.77,Hydrogen,2018,K2-203
K2-204,,1.25,Hydrogen,2018,K2-204
K2-205,,1.08,Hydrogen,2018,K2-205
K2-206,,0.76,Hydrogen,2018,K2-206
K2-207,,0.93,Hydrogen,2018,K2-207
K2-208,,0.87,Hydrogen,2018,K2-208
K2-209,,0.71,Hydrogen,2018,K2-209
K2-21,M0.0,0.65,Hydrogen,2015,K2-21
K2-21,M0.0,0.65,Hydrogen,2015,K2-21
K2-210,,0.89,Hydrogen,2018,K2-210
K2-211,,0.82,Hydrogen,2018,K2-211
K2-212,,0.65,Hydrogen,2018,K2-212
K2-213,,1.2,Hydrogen,2018,K2-213
K2-214,,1.27,Hydrogen,2018,K2-214
K2-215,,0.97,Hydrogen,2018,K2-215
K2-216,K5 V,0.72,Hydrogen,2018,K2-216
K2-217,,1.33,Hydrogen,2018,K2-217
K2-218,,1.01,Hydrogen,2018,K2-218
K2-219,,1.19,Hydrogen,2018,K2-219
K2-219,,1.19,Hydrogen,2018,K2-219
K2-219,,1.19,Hydrogen,2018,K2-219
K2-22,M0 V,0.58,Hydrogen,2015,K2-22
K2-220,,1.02,Hydrogen,2018,K2-220
K2-221,,0.95,Hydrogen,2018,K2-221
K2-222,,1.12,Hydrogen,2018,K2-222
K2-223,,1,Hydrogen,2018,K2-223
K2-223,,1,Hydrogen,2018,K2-223
K2-224,,0.84,Hydrogen,2018,K2-224
K2-224,,0.84,Hydrogen,2018,K2-224
K2-225,,1.7,Hydrogen,2018,K2-225
K2-226,,0.91,Hydrogen,2018,K2-226
K2-227,,0.89,Hydrogen,2018,K2-227
K2-228,,0.65,Hydrogen,2018,K2-228
K2-229,G9,0.79,Hydrogen,2018,K2-229
K2-229,G9,0.79,Hydrogen,2018,K2-229
K2-230,,1.39,Hydrogen,2018,K2-230
K2-231,,0.95,Hydrogen,2018,K2-231
K2-232,,1.16,Hydrogen,2018,K2-232
K2-233,K3,0.71,Hydrogen,2018,K2-233
K2-233,K3,0.71,Hydrogen,2018,K2-233
K2-233,K3,0.71,Hydrogen,2018,K2-233
K2-237,,1.26,Hydrogen,2018,K2-237
K2-238,G2 V,1.59,Hydrogen,2018,K2-238
K2-239,M3.0 V,0.36,Hydrogen,2018,K2-239
K2-239,M3.0 V,0.36,Hydrogen,2018,K2-239
K2-239,M3.0 V,0.36,Hydrogen,2018,K2-239
K2-24,G9 V,1.16,Hydrogen,2016,K2-24
K2-24,G9 V,1.16,Hydrogen,2016,K2-24
K2-240,M0.5 V,0.54,Hydrogen,2018,K2-240
K2-240,M0.5 V,0.54,Hydrogen,2018,K2-240
K2-241,,0.75,Hydrogen,2018,K2-241
K2-242,,0.37,Hydrogen,2018,K2-242
K2-243,,1.39,Hydrogen,2018,K2-243
K2-243,,1.39,Hydrogen,2018,K2-243
K2-244,,0.92,Hydrogen,2018,K2-244
K2-245,,1.25,Hydrogen,2018,K2-245
K2-246,,0.94,Hydrogen,2018,K2-246
K2-247,,0.69,Hydrogen,2018,K2-247
K2-247,,0.69,Hydrogen,2018,K2-247
K2-248,,0.92,Hydrogen,2018,K2-248
K2-249,,1.57,Hydrogen,2018,K2-249
K2-25,M4.5 V,0.29,Hydrogen,2015,K2-25
K2-250,,0.81,Hydrogen,2018,K2-250
K2-251,,0.49,Hydrogen,2018,K2-251
K2-252,,0.82,Hydrogen,2018,K2-252
K2-253,,1.1,Hydrogen,2018,K2-253
K2-254,,0.67,Hydrogen,2018,K2-254
K2-254,,0.67,Hydrogen,2018,K2-254
K2-255,,0.69,Hydrogen,2018,K2-255
K2-257,,0.5,Hydrogen,2018,K2-257
K2-258,,1.31,Hydrogen,2018,K2-258
K2-259,,1.13,Hydrogen,2018,K2-259
K2-26,M1.0 V,0.52,Hydrogen,2016,K2-26
K2-260,,1.69,Hydrogen,2018,K2-260
K2-261,,1.67,Hydrogen,2018,K2-261
K2-263,G9 V,0.85,Hydrogen,2018,K2-263
K2-264,M2.5 V,0.47,Hydrogen,2018,K2-264
K2-264,M2.5 V,0.47,Hydrogen,2018,K2-264
K2-265,,0.92,Hydrogen,2018,K2-265
K2-266,,0.7,Hydrogen,2018,K2-266
K2-266,,0.7,Hydrogen,2018,K2-266
K2-266,,0.7,Hydrogen,2018,K2-266
K2-266,,0.7,Hydrogen,2018,K2-266
K2-268,,0.78,Hydrogen,2018,K2-268
K2-268,,0.78,Hydrogen,2018,K2-268
K2-268,,0.78,Hydrogen,2018,K2-268
K2-268,,0.78,Hydrogen,2018,K2-268
K2-268,,0.78,Hydrogen,2018,K2-268
K2-269,,1.45,Hydrogen,2018,K2-269
K2-27,,0.86,Hydrogen,2016,K2-27
K2-270,,0.77,Hydrogen,2018,K2-270
K2-270,,0.77,Hydrogen,2018,K2-270
K2-271,,0.99,Hydrogen,2018,K2-271
K2-272,,0.83,Hydrogen,2018,K2-272
K2-273,,0.85,Hydrogen,2018,K2-273
K2-274,,0.7,Hydrogen,2018,K2-274
K2-275,,0.69,Hydrogen,2018,K2-275
K2-275,,0.69,Hydrogen,2018,K2-275
K2-276,,0.85,Hydrogen,2018,K2-276
K2-277,,0.97,Hydrogen,2018,K2-277
K2-278,,1.61,Hydrogen,2018,K2-278
K2-279,,0.86,Hydrogen,2018,K2-279
K2-28,M4,0.29,Hydrogen,2016,K2-28
K2-280,,1.28,Hydrogen,2018,K2-280
K2-281,,0.76,Hydrogen,2018,K2-281
K2-282,,1,Hydrogen,2019,K2-282
K2-283,,0.82,Hydrogen,2018,K2-283
K2-284,,0.61,Hydrogen,2018,K2-284
K2-285,K2 V,0.79,Hydrogen,2018,K2-285
K2-285,K2 V,0.79,Hydrogen,2018,K2-285
K2-285,K2 V,0.79,Hydrogen,2018,K2-285
K2-285,K2 V,0.79,Hydrogen,2018,K2-285
K2-286,M0 V,0.62,Hydrogen,2018,K2-286
K2-287,,1.07,Hydrogen,2018,K2-287
K2-288,M3 V,0.32,Hydrogen,2018,K2-288 B
K2-289,,1.03,Hydrogen,2019,K2-289
K2-29,G7 V,0.86,Hydrogen,2016,K2-29
K2-290,,1.51,Hydrogen,2019,K2-290
K2-290,,1.51,Hydrogen,2019,K2-290
K2-291,,0.9,Hydrogen,2019,K2-291
K2-292,G3 V,1.09,Hydrogen,2019,K2-292
K2-293,,0.95,Hydrogen,2019,K2-293
K2-294,,1.2,Hydrogen,2019,K2-294
K2-295,K5 V,0.7,Hydrogen,2018,K2-295
K2-3,M V,0.55,Hydrogen,2015,K2-3
K2-3,M V,0.55,Hydrogen,2015,K2-3
K2-3,M V,0.55,Hydrogen,2015,K2-3
K2-30,G6 V,0.84,Hydrogen,2016,K2-30
K2-308,,1.24,Hydrogen,2019,K2-308
K2-31,G7 V,0.78,Hydrogen,2016,K2-31
HD 80653,G2,1.22,Hydrogen,2020,HD 80653
K2-315,M(3.5+/-0.5) V,0.2,Hydrogen,2020,K2-315
K2-316,,0.38,Hydrogen,2020,K2-316
K2-316,,0.38,Hydrogen,2020,K2-316
K2-317,,0.38,Hydrogen,2020,K2-317
K2-318,,0.55,Hydrogen,2020,K2-318
K2-319,,0.9,Hydrogen,2020,K2-319
K2-32,G9 V,0.86,Hydrogen,2016,K2-32
K2-32,G9 V,0.86,Hydrogen,2016,K2-32
K2-32,G9 V,0.86,Hydrogen,2016,K2-32
K2-32,G9 V,0.86,Hydrogen,2016,K2-32
K2-320,,0.3,Hydrogen,2020,K2-320
K2-321,,0.58,Hydrogen,2020,K2-321
K2-322,,0.6,Hydrogen,2020,K2-322
K2-323,,0.55,Hydrogen,2020,K2-323
K2-324,,0.51,Hydrogen,2020,K2-324
K2-325,,0.3,Hydrogen,2020,K2-325
K2-326,,0.69,Hydrogen,2020,K2-326
K2-329,,0.89,Hydrogen,2020,K2-329
K2-33,M3.3,1.05,Hydrogen,2016,K2-33
K2-330,,1.5,Hydrogen,2021,K2-330
K2-331,,1.06,Hydrogen,2021,K2-331
K2-331,,1.06,Hydrogen,2021,K2-331
K2-332,,0.28,Hydrogen,2021,K2-332
K2-333,,1.22,Hydrogen,2021,K2-333
K2-334,,1.49,Hydrogen,2021,K2-334
K2-335,,1.33,Hydrogen,2021,K2-335
K2-336,,0.8,Hydrogen,2021,K2-336
K2-337,,1.32,Hydrogen,2021,K2-337
K2-338,,0.63,Hydrogen,2021,K2-338
K2-339,,0.72,Hydrogen,2021,K2-339
K2-34,F,1.42,Hydrogen,2016,K2-34
K2-340,,1.13,Hydrogen,2021,K2-340
K2-341,,1.16,Hydrogen,2021,K2-341
K2-342,,1.09,Hydrogen,2021,K2-342
K2-343,,0.46,Hydrogen,2021,K2-343
K2-343,,0.46,Hydrogen,2021,K2-343
K2-344,,0.49,Hydrogen,2021,K2-344
K2-345,,0.52,Hydrogen,2021,K2-345
K2-346,,0.7,Hydrogen,2021,K2-346
K2-347,,0.63,Hydrogen,2021,K2-347
K2-348,,0.85,Hydrogen,2021,K2-348
K2-348,,0.85,Hydrogen,2021,K2-348
K2-349,,0.49,Hydrogen,2021,K2-349
K2-35,K4 V,0.62,Hydrogen,2016,K2-35
K2-35,K4 V,0.62,Hydrogen,2016,K2-35
K2-350,,1.04,Hydrogen,2021,K2-350
K2-350,,1.04,Hydrogen,2021,K2-350
K2-351,,1.05,Hydrogen,2021,K2-351
K2-352,,0.95,Hydrogen,2021,K2-352
K2-352,,0.95,Hydrogen,2021,K2-352
K2-352,,0.95,Hydrogen,2021,K2-352
K2-353,,0.99,Hydrogen,2021,K2-353
K2-354,,0.41,Hydrogen,2021,K2-354
K2-355,,0.92,Hydrogen,2021,K2-355
K2-356,,0.86,Hydrogen,2021,K2-356
K2-357,,1,Hydrogen,2021,K2-357
K2-358,,0.91,Hydrogen,2021,K2-358
K2-36,K2 V,0.72,Hydrogen,2016,K2-36
K2-36,K2 V,0.72,Hydrogen,2016,K2-36
EPIC 201595106,,0.98,Hydrogen,2021,EPIC 201595106
K2-365,,1.05,Hydrogen,2022,K2-365
K2-366,,0.94,Hydrogen,2022,K2-366
K2-367,,0.62,Hydrogen,2022,K2-367
K2-368,,0.66,Hydrogen,2022,K2-368
K2-368,,0.66,Hydrogen,2022,K2-368
K2-368,,0.66,Hydrogen,2022,K2-368
K2-369,,0.88,Hydrogen,2022,K2-369
K2-37,G3 V,0.85,Hydrogen,2016,K2-37
K2-37,G3 V,0.85,Hydrogen,2016,K2-37
K2-37,G3 V,0.85,Hydrogen,2016,K2-37
K2-370,G8,0.97,Hydrogen,2022,K2-370
K2-371,,0.74,Hydrogen,2022,K2-371
K2-372,,0.92,Hydrogen,2022,K2-372
K2-373,,1.49,Hydrogen,2022,K2-373
K2-374,G3,0.91,Hydrogen,2022,K2-374
K2-374,G3,0.91,Hydrogen,2022,K2-374
K2-375,,1.54,Hydrogen,2022,K2-375
K2-376,G1,1.15,Hydrogen,2022,K2-376
K2-377,,0.69,Hydrogen,2022,K2-377
K2-378,,0.73,Hydrogen,2022,K2-378
K2-379,,0.75,Hydrogen,2022,K2-379
K2-38,G2 V,1.14,Hydrogen,2016,K2-38
K2-38,G2 V,1.14,Hydrogen,2016,K2-38
K2-380,,1.32,Hydrogen,2022,K2-380
K2-381,,0.68,Hydrogen,2022,K2-381
K2-381,,0.68,Hydrogen,2022,K2-381
K2-381,,0.68,Hydrogen,2022,K2-381
K2-382,,0.81,Hydrogen,2022,K2-382
K2-383,,0.8,Hydrogen,2022,K2-383
K2-384,M4 V,0.35,Hydrogen,2022,K2-384
K2-384,M4 V,0.35,Hydrogen,2022,K2-384
K2-384,M4 V,0.35,Hydrogen,2022,K2-384
K2-384,M4 V,0.35,Hydrogen,2022,K2-384
K2-384,M4 V,0.35,Hydrogen,2022,K2-384
K2-385,,0.76,Hydrogen,2022,K2-385
K2-386,,0.97,Hydrogen,2022,K2-386
K2-387,,0.59,Hydrogen,2022,K2-387
K2-388,G8,0.9,Hydrogen,2022,K2-388
K2-389,G3,1.08,Hydrogen,2022,K2-389
K2-389,G3,1.08,Hydrogen,2022,K2-389
K2-39,,2.97,Hydrogen,2016,K2-39
K2-390,G4,0.97,Hydrogen,2022,K2-390
K2-391,G7,0.57,Hydrogen,2022,K2-391
K2-392,G3,1.06,Hydrogen,2022,K2-392
K2-393,,1.07,Hydrogen,2022,K2-393
K2-394,,0.63,Hydrogen,2022,K2-394
K2-395,K0,0.78,Hydrogen,2022,K2-395
K2-395,K0,0.78,Hydrogen,2022,K2-395
K2-396,G9,0.92,Hydrogen,2022,K2-396
K2-396,G9,0.92,Hydrogen,2022,K2-396
K2-397,G7,0.97,Hydrogen,2022,K2-397
K2-398,G2,1.24,Hydrogen,2022,K2-398
K2-398,G2,1.24,Hydrogen,2022,K2-398
K2-4,,0.57,Hydrogen,2015,K2-4
K2-400,M3,0.38,Hydrogen,2022,K2-400
K2-401,K7,0.68,Hydrogen,2022,K2-401
K2-402,G2,1.28,Hydrogen,2022,K2-402
K2-403,G4,0.89,Hydrogen,2022,K2-403
K2-404,M1,0.55,Hydrogen,2022,K2-404
K2-405,K0,0.77,Hydrogen,2022,K2-405
K2-406,G4,0.96,Hydrogen,2022,K2-406
K2-407,G4,0.93,Hydrogen,2022,K2-407
K2-407,G4,0.93,Hydrogen,2022,K2-407
K2-408,G7,0.78,Hydrogen,2022,K2-408
K2-409,G4,1.23,Hydrogen,2022,K2-409
K2-411,,1.38,Hydrogen,2022,K2-411
K2-412,,0.98,Hydrogen,2022,K2-412
K2-413,,0.7,Hydrogen,2022,K2-413
K2-413,,0.7,Hydrogen,2022,K2-413
K2-414,,0.73,Hydrogen,2022,K2-414
K2-414,,0.73,Hydrogen,2022,K2-414
K2-415,M5 V,0.2,Hydrogen,2023,K2-415
K2-416,M V,0.55,Hydrogen,2023,K2-416
K2-417,M V,0.58,Hydrogen,2023,K2-417
K2-419,,0.54,Hydrogen,2024,K2-419 A
K2-42,,0.64,Hydrogen,2016,K2-42
K2-43,,0.56,Hydrogen,2016,K2-43
K2-43,,0.56,Hydrogen,2016,K2-43
K2-44,,1.58,Hydrogen,2016,K2-44
K2-45,,0.69,Hydrogen,2016,K2-45
K2-46,,1.29,Hydrogen,2016,K2-46
K2-47,,0.76,Hydrogen,2016,K2-47
K2-48,,0.73,Hydrogen,2016,K2-48
K2-49,,0.45,Hydrogen,2016,K2-49
K2-5,K7.5 V,0.57,Hydrogen,2015,K2-5
K2-5,K7.5 V,0.57,Hydrogen,2015,K2-5
K2-50,,0.55,Hydrogen,2019,K2-50
K2-52,,2.19,Hydrogen,2016,K2-52
K2-53,,0.81,Hydrogen,2016,K2-53
K2-54,,0.64,Hydrogen,2016,K2-54
K2-55,,0.63,Hydrogen,2016,K2-55
K2-57,,0.67,Hydrogen,2016,K2-57
K2-58,,0.86,Hydrogen,2016,K2-58
K2-58,,0.86,Hydrogen,2016,K2-58
K2-58,,0.86,Hydrogen,2016,K2-58
K2-59,,0.73,Hydrogen,2016,K2-59
K2-59,,0.73,Hydrogen,2016,K2-59
K2-6,,0.96,Hydrogen,2015,K2-6
K2-60,G4 V,1.12,Hydrogen,2016,K2-60
K2-61,,1.36,Hydrogen,2016,K2-61
K2-62,,0.73,Hydrogen,2016,K2-62
K2-62,,0.73,Hydrogen,2016,K2-62
K2-63,,1.63,Hydrogen,2016,K2-63
K2-63,,1.63,Hydrogen,2016,K2-63
K2-64,,0.73,Hydrogen,2016,K2-64
K2-65,,0.84,Hydrogen,2016,K2-65
K2-66,,1.67,Hydrogen,2016,K2-66
K2-68,,0.68,Hydrogen,2016,K2-68
K2-69,,0.49,Hydrogen,2016,K2-69
K2-7,,1.6,Hydrogen,2015,K2-7
K2-70,,0.93,Hydrogen,2016,K2-70
K2-71,,0.43,Hydrogen,2016,K2-71
K2-72,,0.33,Hydrogen,2016,K2-72
K2-72,,0.33,Hydrogen,2016,K2-72
K2-72,,0.33,Hydrogen,2016,K2-72
K2-72,,0.33,Hydrogen,2016,K2-72
K2-73,,1.06,Hydrogen,2016,K2-73
K2-74,,0.98,Hydrogen,2016,K2-74
K2-75,,1.56,Hydrogen,2016,K2-75
K2-75,,1.56,Hydrogen,2016,K2-75
K2-77,,0.78,Hydrogen,2016,K2-77
K2-79,,1.27,Hydrogen,2016,K2-79
K2-8,K3 V,0.74,Hydrogen,2015,K2-8
K2-8,K3 V,0.74,Hydrogen,2015,K2-8
K2-80,,0.87,Hydrogen,2016,K2-80
K2-80,,0.87,Hydrogen,2016,K2-80
K2-80,,0.84,Hydrogen,2016,K2-80
K2-81,,0.63,Hydrogen,2016,K2-81
K2-83,,0.42,Hydrogen,2016,K2-83
K2-83,,0.42,Hydrogen,2016,K2-83
K2-84,,0.93,Hydrogen,2016,K2-84
K2-84,,0.93,Hydrogen,2016,K2-84
K2-85,,0.68,Hydrogen,2016,K2-85
K2-86,,0.76,Hydrogen,2016,K2-86
K2-87,,1.4,Hydrogen,2016,K2-87
K2-88,,0.26,Hydrogen,2016,K2-88
K2-89,,0.32,Hydrogen,2016,K2-89
K2-9,M2.5 V,0.31,Hydrogen,2015,K2-9
K2-90,,0.62,Hydrogen,2016,K2-90
K2-90,,0.63,Hydrogen,2016,K2-90
K2-91,,0.28,Hydrogen,2016,K2-91
K2-95,M3.0,0.4,Hydrogen,2016,K2-95
K2-97,,4.2,Hydrogen,2016,K2-97
K2-98,,1.57,Hydrogen,2016,K2-98
K2-99,G0 IV,2.63,Hydrogen,2016,K2-99
KELT-1,,1.46,Hydrogen,2012,KELT-1
KELT-10,G0 V,1.21,Hydrogen,2016,KELT-10
KELT-11,G8/K0 IV,2.69,Hydrogen,2017,KELT-11
KELT-12,,2.37,Hydrogen,2017,KELT-12
KELT-14,G4,1.52,Hydrogen,2016,KELT-14
KELT-15,,1.78,Hydrogen,2016,KELT-15
KELT-16,F7 V,1.36,Hydrogen,2017,KELT-16
KELT-17,A,1.65,Hydrogen,2016,KELT-17
KELT-18,,1.91,Hydrogen,2017,KELT-18
KELT-19,A8 V,1.83,Hydrogen,2017,KELT-19 A
KELT-2,F8,1.93,Hydrogen,2012,KELT-2 A
KELT-20,A2 V,1.57,Hydrogen,2017,KELT-20
KELT-21,,1.64,Hydrogen,2018,KELT-21
KELT-23,G2 V,1,Hydrogen,2019,KELT-23 A
KELT-24,F7,1.34,Hydrogen,2019,KELT-24
KELT-3,,1.47,Hydrogen,2013,KELT-3
KELT-4,,1.6,Hydrogen,2016,KELT-4 A
KELT-6,F8,1.73,Hydrogen,2014,KELT-6
KELT-6,F8,1.53,Hydrogen,2014,KELT-6
KELT-7,F,1.73,Hydrogen,2015,KELT-7
KELT-8,G2 V,1.46,Hydrogen,2015,KELT-8
KELT-9,B9.5-A0,2.36,Hydrogen,2017,KELT-9
KIC 10001893,,0.18,Hydrogen,2014,KIC 10001893
KIC 10001893,,0.18,Hydrogen,2014,KIC 10001893
KIC 10001893,,0.18,Hydrogen,2014,KIC 10001893
KIC 10068024,,1.57,Hydrogen,2021,KIC 10068024
KIC 10525077,,1.01,Hydrogen,2015,KIC 10525077
KIC 3526061,,5.86,Hydrogen,2022,KIC 3526061
KIC 3558849,,1.01,Hydrogen,2015,KIC 3558849
KIC 5437945,,1.24,Hydrogen,2015,KIC 5437945
KIC 5479689,,0.89,Hydrogen,2021,KIC 5479689
KIC 7917485,A,2.01,Hydrogen,2016,KIC 7917485
KIC 8121913,,2.23,Hydrogen,2021,KIC 8121913
KOI-7892,,1.26,Hydrogen,2015,KOI-7892
KOI-7892,,1.26,Hydrogen,2015,KOI-7892
KIC 9663113,,1.03,Hydrogen,2015,KIC 9663113
KMT-2016-BLG-0212L,,,Hydrogen,2018,KMT-2016-BLG-0212L
KMT-2016-BLG-1105L,,,Hydrogen,2023,KMT-2016-BLG-1105L
KMT-2016-BLG-1107L,,,Hydrogen,2019,KMT-2016-BLG-1107L
KMT-2016-BLG-1397L,,,Hydrogen,2018,KMT-2016-BLG-1397L
KMT-2016-BLG-1820L,,,Hydrogen,2018,KMT-2016-BLG-1820L
KMT-2016-BLG-1836L,,,Hydrogen,2019,KMT-2016-BLG-1836L
KMT-2016-BLG-2142L,,,Hydrogen,2018,KMT-2016-BLG-2142L
KMT-2016-BLG-2321L,,,Hydrogen,2024,KMT-2016-BLG-2321L
KMT-2016-BLG-2364L,,,Hydrogen,2020,KMT-2016-BLG-2364L
KMT-2016-BLG-2397L,,,Hydrogen,2020,KMT-2016-BLG-2397L
KMT-2016-BLG-2605L,,,Hydrogen,2021,KMT-2016-BLG-2605L
KMT-2017-BLG-0165L,,,Hydrogen,2018,KMT-2017-BLG-0165L
KMT-2017-BLG-0428L,,,Hydrogen,2023,KMT-2017-BLG-0428L
KMT-2017-BLG-0673L,,,Hydrogen,2022,KMT-2017-BLG-0673L
KMT-2017-BLG-1003L,,,Hydrogen,2023,KMT-2017-BLG-1003L
KMT-2017-BLG-1038L,,,Hydrogen,2019,KMT-2017-BLG-1038L
KMT-2017-BLG-1146L,,,Hydrogen,2019,KMT-2017-BLG-1146L
KMT-2017-BLG-1194L,,,Hydrogen,2023,KMT-2017-BLG-1194L
KMT-2017-BLG-2509L,,,Hydrogen,2021,KMT-2017-BLG-2509L
KMT-2018-BLG-0029L,,,Hydrogen,2020,KMT-2018-BLG-0029L
KMT-2018-BLG-0030L,,,Hydrogen,2022,KMT-2018-BLG-0030L
KMT-2018-BLG-0087L,,,Hydrogen,2022,KMT-2018-BLG-0087L
KMT-2018-BLG-0247L,,,Hydrogen,2022,KMT-2018-BLG-0247L
KMT-2018-BLG-0748L,,,Hydrogen,2020,KMT-2018-BLG-0748L
KMT-2018-BLG-0885L,,,Hydrogen,2023,KMT-2018-BLG-0885L
KMT-2018-BLG-1025L,,,Hydrogen,2021,KMT-2018-BLG-1025L
KMT-2018-BLG-1292L,,,Hydrogen,2020,KMT-2018-BLG-1292L
KMT-2018-BLG-1743L,,,Hydrogen,2021,KMT-2018-BLG-1743L
KMT-2018-BLG-1976L,,,Hydrogen,2021,KMT-2018-BLG-1976L
KMT-2018-BLG-1988L,,,Hydrogen,2022,KMT-2018-BLG-1988L
KMT-2018-BLG-1990L,M,,Hydrogen,2019,KMT-2018-BLG-1990L
