Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Planetary Type,Has Biosphere,Discovery Year,Star Name
HD 216770 b,14.1,101.41,Gas Giant,0,2003,HD 216770
HD 21693 b,2.8,24.48,Garden World,0,2019,HD 21693
HD 21693 c,4.34,78.68,Chthonian Planet,0,2019,HD 21693
HD 217107 b,13.6,98.67,Gas Giant,0,1998,HD 217107
HD 217107 c,13.2,57.87,Proto Planet,0,2005,HD 217107
HD 21749 c,0.892,56.43,Ice Giant,1,2019,GJ 143
HD 217786 b,12.3,123.34,Garden World,0,2011,HD 217786
HD 217786 c,2.61,83.91,Proto Planet,1,2022,HD 217786
HD 217958 b,14.2,69.2,Dwarf Planet,1,2022,HD 217958
HD 218566 b,9.32,41.86,Proto Planet,0,2010,HD 218566
HD 219077 b,12.5,9.8,Ice Giant,1,2012,HD 219077
HD 219134 b,1.602,100.23,Gas Giant,0,2015,HD 219134
HD 219134 c,1.511,88.54,Ice Giant,0,2015,HD 219134
HD 219134 d,1.61,89.63,Chthonian Planet,0,2015,HD 219134
HD 219134 f,1.31,100.83,Gas Giant,1,2015,HD 219134
HD 219134 g,3.28,20.2,Chthonian Planet,1,2015,HD 219134
HD 219134 h,12.7,55.96,Gas Giant,0,2015,HD 219134
HD 219139 b,14,121.52,Ice Giant,0,2021,HD 219139
HD 219415 b,13.8,74.65,Gas Giant,0,2012,HD 219415
HD 219666 b,4.24,17.59,Gas Giant,1,2018,HD 219666
HD 219828 b,4.59,105.32,Dwarf Planet,1,2007,HD 219828
HD 219828 c,12.2,97.37,Proto Planet,1,2016,HD 219828
HD 220074 b,12.2,54.75,Ice Giant,0,2012,HD 220074
HD 220197 b,9.32,104.35,Ice Giant,0,2018,HD 220197
HD 220689 b,13.7,96.89,Dwarf Planet,0,2012,HD 220689
HD 220773 b,13.6,83.09,Proto Planet,1,2011,HD 220773
HD 220842 b,13.1,61.79,Dwarf Planet,0,2016,HD 220842
HD 221287 b,13.1,9.07,Proto Planet,1,2007,HD 221287
HD 221416 b,9.17,46.02,Garden World,1,2019,HD 221416
HD 221420 b,12,92.96,Chthonian Planet,1,2019,HD 221420
HD 221585 b,13.5,49.9,Proto Planet,1,2016,HD 221585
HD 222076 b,13.5,28.86,Gas Giant,1,2016,HD 222076
HD 222155 b,13.4,83.51,Gas Giant,0,2011,HD 222155
HD 222237 b,12.8,0.28,Dwarf Planet,1,2024,HD 222237
HD 222582 b,12.6,16.34,Gas Giant,1,1999,HD 222582
HD 224538 b,12.7,120.32,Gas Giant,0,2016,HD 224538
HD 224693 b,14,49.41,Garden World,0,2006,HD 224693
HD 22496 b,2.22,84.83,Dwarf Planet,1,2021,HD 22496
HD 22532 b,13.4,31.8,Proto Planet,0,2022,HD 22532
HD 22781 b,12.3,96.7,Dwarf Planet,0,2011,HD 22781
HD 22946 d,2.607,20.63,Dwarf Planet,0,2023,HD 22946
HD 23079 b,13.2,43.11,Dwarf Planet,0,2001,HD 23079
HD 23127 b,13.5,66.29,Gas Giant,0,2006,HD 23127
HD 231701 b,13.7,52.15,Chthonian Planet,1,2007,HD 231701
HD 233604 b,12.7,43.18,Proto Planet,0,2013,HD 233604
HD 233832 b,13.5,118.97,Dwarf Planet,0,2018,HD 233832
HD 23472 b,2,123.1,Proto Planet,0,2019,HD 23472
HD 23472 c,1.87,14.11,Ice Giant,0,2019,HD 23472
HD 23472 d,0.75,115.45,Chthonian Planet,1,2022,HD 23472
HD 23472 e,0.818,74.95,Dwarf Planet,0,2022,HD 23472
HD 23472 f,1.137,122.6,Ice Giant,1,2022,HD 23472
HD 235088 b,2.075,52.12,Chthonian Planet,1,2023,HD 235088
HD 23596 b,12.4,122.39,Ice Giant,0,2003,HD 23596
HD 238090 b,2.52,102.86,Gas Giant,1,2020,HD 238090
HD 238914 b,12.8,65.88,Chthonian Planet,1,2018,HD 238914
HD 240210 b,12.8,52.39,Proto Planet,0,2009,HD 240210
HD 240237 b,12.2,64.65,Proto Planet,1,2011,HD 240237
HD 24040 b,13,66.81,Ice Giant,0,2006,HD 24040
HD 24040 c,9.35,75.39,Dwarf Planet,1,2021,HD 24040
HD 24064 b,12.3,77.81,Garden World,0,2015,HD 24064
HD 24085 b,3.46,32.95,Ice Giant,1,2019,HD 24085
HD 25015 b,12.5,30.23,Proto Planet,1,2019,HD 25015
HD 25171 b,13.9,122.95,Gas Giant,0,2010,HD 25171
HD 25463 b,2.545,50.52,Gas Giant,0,2023,HD 25463
HD 25463 c,1.364,89.94,Dwarf Planet,0,2023,HD 25463
HD 25723 b,13.3,70.96,Proto Planet,0,2020,HD 25723
HD 25912 b,6.9,77.02,Proto Planet,0,2022,HD 25912
HD 25912 c,12.2,116.06,Dwarf Planet,1,2022,HD 25912
HD 260655 b,1.24,34.45,Garden World,1,2022,HD 260655
HD 260655 c,1.533,115.54,Garden World,1,2022,HD 260655
HD 26161 b,11.9,63.79,Dwarf Planet,0,2021,HD 26161
HD 2638 b,14.3,83.28,Gas Giant,1,2005,HD 2638
HD 2685 b,16.141,121.84,Gas Giant,1,2019,HD 2685
HD 27442 b,13.5,36.9,Proto Planet,0,2000,HD 27442
HD 27631 b,13.5,35.3,Dwarf Planet,0,2012,HD 27631
HD 27894 b,14.1,44.57,Ice Giant,1,2005,HD 27894
HD 27894 c,8.24,21.57,Chthonian Planet,0,2017,HD 27894
HD 27894 d,12.7,70.49,Gas Giant,1,2017,HD 27894
HD 27969 b,12.9,106.44,Dwarf Planet,1,2021,HD 27969
HD 28109 b,2.199,48.29,Proto Planet,1,2022,HD 28109
HD 28109 c,4.23,4.38,Chthonian Planet,1,2022,HD 28109
HD 28109 d,3.25,102.75,Ice Giant,0,2022,HD 28109
HD 28185 b,12.8,6.97,Dwarf Planet,0,2001,HD 28185
HD 28185 c,12.1,121.14,Gas Giant,0,2022,HD 28185
HD 28192 b,12.2,52.75,Chthonian Planet,1,2022,HD 28192
HD 28254 b,13,49.74,Ice Giant,1,2010,HD 28254
HD 284149 AB b,12,84.47,Dwarf Planet,0,2017,HD 284149
HD 285507 b,13.8,87.03,Dwarf Planet,1,2013,HD 285507
HD 285968 b,2.83,73.53,Proto Planet,1,2008,HD 285968
HD 28678 b,13.5,66.17,Proto Planet,1,2011,HD 28678
HD 29021 b,12.9,78.43,Dwarf Planet,0,2017,HD 29021
HD 290327 b,13.3,64.3,Gas Giant,0,2009,HD 290327
HD 29399 b,13.5,7.12,Gas Giant,1,2022,HD 29399
HD 2952 b,13.9,8.97,Dwarf Planet,1,2013,HD 2952
HD 29985 b,12.8,54.07,Chthonian Planet,1,2022,HD 29985
HD 30177 b,12.6,3.67,Garden World,1,2002,HD 30177
HD 30177 c,12.7,59.72,Garden World,0,2016,HD 30177
HD 30562 b,13.6,49.64,Ice Giant,0,2009,HD 30562
HD 30669 b,14.3,61.92,Ice Giant,1,2014,HD 30669
HD 30856 b,13.5,39.93,Dwarf Planet,1,2011,HD 30856
HD 31253 b,14.1,11.95,Chthonian Planet,0,2010,HD 31253
HD 31527 b,3.22,95.87,Ice Giant,0,2019,HD 31527
HD 31527 c,3.85,70.11,Ice Giant,1,2019,HD 31527
HD 31527 d,3.46,103.1,Ice Giant,0,2019,HD 31527
HD 3167 b,1.67,80.68,Dwarf Planet,0,2016,HD 3167
HD 3167 c,3,50.18,Gas Giant,0,2016,HD 3167
HD 3167 d,1.92,96.46,Ice Giant,1,2017,HD 3167
HD 3167 e,2.83,111.09,Gas Giant,1,2022,HD 3167
HD 32518 b,13.2,43.81,Gas Giant,0,2009,HD 32518
HD 32963 b,13.4,4.86,Proto Planet,1,2015,HD 32963
HD 330075 b,14.3,82.51,Ice Giant,1,2004,HD 330075
HD 331093 b,13.6,1.85,Garden World,1,2021,HD 331093
HD 33142 b,13.7,92.71,Dwarf Planet,0,2011,HD 33142
HD 33142 c,13.9,76.03,Chthonian Planet,0,2018,HD 33142
HD 33142 d,9.32,93.06,Gas Giant,0,2022,HD 33142
HD 332231 b,9.073,29.51,Chthonian Planet,0,2020,HD 332231
HD 33283 b,12.5,44.62,Proto Planet,0,2006,HD 33283
HD 33564 b,12.5,22.5,Proto Planet,1,2005,HD 33564
HD 33844 b,13.4,20.29,Ice Giant,0,2015,HD 33844
HD 33844 c,13.5,4.58,Dwarf Planet,0,2015,HD 33844
HD 34445 b,13.9,103.49,Dwarf Planet,1,2009,HD 34445
HD 34445 c,8.42,100.4,Gas Giant,1,2017,HD 34445
HD 34445 d,6.07,83.58,Proto Planet,1,2017,HD 34445
HD 34445 e,4.26,3.65,Dwarf Planet,1,2017,HD 34445
HD 34445 f,6.88,72.09,Ice Giant,1,2017,HD 34445
HD 34445 g,13.6,21.83,Ice Giant,1,2017,HD 34445
HD 35759 b,13,121.6,Gas Giant,1,2016,HD 35759
HD 360 b,14,54.81,Proto Planet,0,2021,HD 360
HD 36384 b,12.7,56.93,Ice Giant,1,2023,HD 36384
HD 3651 b,10.1,21.85,Gas Giant,1,2003,HD 3651
HD 37124 b,14,111.17,Garden World,1,2002,HD 37124
HD 37124 c,14.1,50.27,Dwarf Planet,1,2002,HD 37124
HD 37124 d,14,106.6,Dwarf Planet,1,2005,HD 37124
HD 37605 b,13.2,14.12,Proto Planet,1,2004,HD 37605
HD 37605 c,13.1,31.6,Chthonian Planet,1,2012,HD 37605
HD 3765 b,8.56,28.1,Dwarf Planet,0,2021,HD 3765
HD 38283 b,14,110.3,Proto Planet,0,2010,HD 38283
HD 38529 b,14.1,20.91,Dwarf Planet,0,2000,HD 38529
HD 38529 c,12.5,7.4,Gas Giant,0,2000,HD 38529
HD 38801 b,12.5,74.24,Proto Planet,1,2009,HD 38801
HD 39091 b,12.4,6.37,Garden World,1,2001,HD 39091
HD 39194 b,1.83,8.25,Gas Giant,1,2021,HD 39194
HD 39194 c,2.39,85.64,Ice Giant,0,2021,HD 39194
HD 39194 d,1.83,89.53,Ice Giant,0,2021,HD 39194
HD 39855 b,2.85,123.1,Gas Giant,0,2019,HD 39855
HD 40307 b,1.83,57.81,Ice Giant,1,2009,HD 40307
HD 40307 c,2.46,108.2,Dwarf Planet,1,2009,HD 40307
HD 40307 d,3.04,1.92,Chthonian Planet,0,2009,HD 40307
HD 40307 f,2.13,117.36,Proto Planet,1,2013,HD 40307
HD 40307 g,2.56,22.8,Ice Giant,1,2013,HD 40307
HD 40956 b,13.2,43.58,Dwarf Planet,1,2017,HD 40956
HD 40979 b,12.9,86.14,Proto Planet,1,2002,HD 40979
HD 41004 A b,13.2,73.37,Dwarf Planet,0,2004,HD 41004
HD 41004 B b,12.1,110.61,Ice Giant,1,2003,HD 41004
HD 4113 b,13.5,4.38,Proto Planet,1,2007,HD 4113
HD 42012 b,13.5,10.75,Dwarf Planet,0,2017,HD 42012
HD 4203 b,13.3,55.96,Proto Planet,0,2001,HD 4203
HD 4203 c,13.3,35.75,Gas Giant,0,2014,HD 4203
HD 4208 b,13.9,122.14,Gas Giant,0,2001,HD 4208
HD 42618 b,3.89,94.52,Chthonian Planet,1,2016,HD 42618
HD 42813 b,3.41,42.94,Dwarf Planet,1,2023,HD 42813
HD 4308 b,4.12,36.14,Dwarf Planet,0,2005,HD 4308
HD 4313 b,13.4,19.28,Garden World,0,2009,HD 4313
HD 43197 b,14.2,25.21,Dwarf Planet,0,2010,HD 43197
HD 43197 c,12.6,17.41,Gas Giant,1,2022,HD 43197
HD 43691 b,13.2,73.44,Ice Giant,1,2007,HD 43691
HD 44219 b,14.1,75.23,Gas Giant,1,2010,HD 44219
HD 45184 b,3.52,115.47,Proto Planet,0,2019,HD 45184
HD 45184 c,2.91,82.67,Garden World,1,2019,HD 45184
HD 45350 b,13.5,117.63,Chthonian Planet,1,2004,HD 45350
HD 45364 b,9.03,94.95,Dwarf Planet,1,2008,HD 45364
HD 45364 c,14.2,67.23,Proto Planet,1,2008,HD 45364
HD 45652 b,14.3,14.2,Chthonian Planet,1,2008,HD 45652
HD 457 b,11.9,51.98,Chthonian Planet,1,2022,HD 457
HD 46375 b,10,31.95,Ice Giant,1,2000,HD 46375
HD 47186 b,5.02,81.92,Garden World,0,2008,HD 47186
HD 47186 c,13,62.83,Dwarf Planet,0,2008,HD 47186
HD 4732 b,13.4,81.03,Ice Giant,0,2012,HD 4732
HD 4732 c,13.1,4.26,Garden World,0,2012,HD 4732
HD 47366 b,13.4,19.65,Ice Giant,1,2016,HD 47366
HD 47366 c,13.5,78.4,Gas Giant,0,2016,HD 47366
HD 47536 b,12.6,43.1,Gas Giant,0,2002,HD 47536
HD 4760 b,12.3,68.26,Ice Giant,1,2021,HD 4760
HD 48265 b,13.5,85.62,Chthonian Planet,0,2008,HD 48265
HD 48948 b,2.06,36.83,Dwarf Planet,0,2024,HD 48948
HD 48948 c,2.6,46.16,Dwarf Planet,1,2024,HD 48948
HD 48948 d,3.24,27.17,Dwarf Planet,1,2024,HD 48948
HD 4917 b,13.5,102.96,Gas Giant,1,2018,HD 4917
HD 49674 b,6.2,15.25,Gas Giant,0,2002,HD 49674
HD 50499 b,13.5,86.41,Ice Giant,0,2005,HD 50499
HD 50499 c,13.2,119.29,Proto Planet,0,2019,HD 50499
HD 50554 b,12.8,46.73,Proto Planet,1,2002,HD 50554
HD 51608 b,3.62,54.04,Gas Giant,1,2019,HD 51608
HD 51608 c,3.87,57.94,Proto Planet,0,2019,HD 51608
HD 52265 b,13.7,78.42,Ice Giant,0,2000,HD 52265
HD 5278 b,2.45,39.95,Ice Giant,1,2021,HD 5278
HD 5278 c,4.49,50.92,Proto Planet,1,2021,HD 5278
HD 5319 b,13.5,26.02,Proto Planet,0,2007,HD 5319
HD 5319 c,13.8,35.45,Gas Giant,0,2014,HD 5319
HD 55696 b,12.9,82.71,Ice Giant,1,2018,HD 55696
HD 5583 b,12.8,118.07,Garden World,0,2016,HD 5583
HD 5608 b,13.7,104.09,Gas Giant,0,2012,HD 5608
HD 564 b,12.5,118.66,Garden World,1,2014,HD 564
HD 56414 b,3.71,37.17,Dwarf Planet,0,2022,HD 56414
HD 56957 b,12.8,65.1,Gas Giant,1,2022,HD 56957
HD 5891 b,12.6,64.35,Ice Giant,0,2011,HD 5891
HD 59686 A b,12.7,40.7,Ice Giant,1,2016,HD 59686
HD 60292 b,12.7,8.11,Gas Giant,0,2020,HD 60292
HD 60532 b,13.8,121.14,Proto Planet,1,2008,HD 60532
HD 60532 c,13.3,23.13,Chthonian Planet,1,2008,HD 60532
HD 6061 b,2.428,24.45,Garden World,0,2023,HD 6061
HD 62364 b,12.1,53.99,Proto Planet,1,2022,HD 62364
HD 62364 c,12,79.65,Proto Planet,0,2022,HD 62364
HD 62509 b,13.3,120.79,Chthonian Planet,1,2006,HD 62509
HD 62549 b,12.6,75.71,Dwarf Planet,1,2022,HD 62549
HD 63433 b,2.164,37.96,Proto Planet,1,2020,HD 63433
HD 63433 c,2.582,114.81,Dwarf Planet,1,2020,HD 63433
HD 63433 d,1.073,67.69,Chthonian Planet,1,2023,HD 63433
HD 63454 b,12.31,35.46,Garden World,0,2005,HD 63454
HD 63765 b,14.2,59.29,Proto Planet,0,2009,HD 63765
HD 63935 b,2.916,14.42,Gas Giant,1,2021,HD 63935
HD 63935 c,3.065,4.68,Proto Planet,0,2021,HD 63935
HD 64114 b,4.41,60.37,Dwarf Planet,0,2019,HD 64114
HD 64121 b,13.2,90.72,Gas Giant,1,2022,HD 64121
HD 6434 b,14.2,49.81,Gas Giant,0,2003,HD 6434
HD 65216 b,13.6,7.03,Proto Planet,0,2003,HD 65216
HD 65216 c,13.4,3.94,Proto Planet,1,2013,HD 65216
HD 66141 b,12.8,85.07,Gas Giant,0,2012,HD 66141
HD 66428 b,12.4,2.63,Gas Giant,0,2005,HD 66428
HD 66428 c,13.5,74.04,Gas Giant,0,2021,HD 66428
HD 67087 b,13.1,42.93,Proto Planet,0,2015,HD 67087
HD 67087 c,12.9,34.78,Proto Planet,0,2015,HD 67087
HD 6718 b,13.5,83.05,Gas Giant,0,2009,HD 6718
HD 68402 b,12.6,19.59,Gas Giant,1,2016,HD 68402
HD 6860 b,11.9,119.21,Gas Giant,0,2023,HD 6860
HD 68988 b,13.4,118.67,Dwarf Planet,0,2001,HD 68988
HD 68988 c,12.3,7.37,Gas Giant,1,2021,HD 68988
HD 69123 b,13.1,31.98,Gas Giant,1,2022,HD 69123
HD 69830 b,3.17,116.68,Dwarf Planet,1,2006,HD 69830
HD 69830 c,3.46,92.58,Dwarf Planet,0,2006,HD 69830
HD 69830 d,4.45,101.8,Ice Giant,0,2006,HD 69830
HD 70573 b,12.8,84.59,Garden World,0,2007,HD 70573
HD 70642 b,13,97.42,Gas Giant,0,2003,HD 70642
HD 7199 b,11.1,52.46,Ice Giant,1,2011,HD 7199
HD 72490 b,13.5,115.82,Dwarf Planet,0,2018,HD 72490
HD 72659 b,13.2,104.36,Proto Planet,0,2002,HD 72659
HD 72659 c,12.1,6.32,Garden World,1,2022,HD 72659
HD 72892 b,12.8,112.21,Dwarf Planet,0,2016,HD 72892
HD 73256 c,12.2,55.08,Ice Giant,0,2023,HD 73256
HD 73267 b,13,47.22,Gas Giant,0,2008,HD 73267
HD 73267 c,12.8,15.34,Gas Giant,0,2022,HD 73267
HD 73344 b,2.884,40.65,Dwarf Planet,0,2024,HD 73344
HD 73344 c,13.5,1.84,Proto Planet,0,2025,HD 73344
HD 73344 d,13.2,41.85,Garden World,1,2025,HD 73344
HD 73526 b,13.1,25.54,Proto Planet,0,2002,HD 73526
HD 73526 c,13.3,24.88,Proto Planet,1,2005,HD 73526
HD 73534 b,13.7,107.34,Gas Giant,0,2008,HD 73534
HD 73583 b,2.79,4.54,Proto Planet,0,2022,HD 73583
HD 73583 c,2.39,13.84,Ice Giant,1,2022,HD 73583
HD 74156 b,13.5,37.6,Proto Planet,0,2003,HD 74156
HD 74156 c,12.5,32.78,Dwarf Planet,0,2003,HD 74156
HD 7449 b,12.6,63.28,Proto Planet,0,2011,HD 7449
HD 74698 b,5.12,109.35,Chthonian Planet,1,2023,HD 74698
HD 74698 c,14,46.77,Gas Giant,1,2023,HD 74698
HD 75289 b,14.2,106.96,Ice Giant,0,1999,HD 75289
HD 75302 b,12.8,65.66,Chthonian Planet,0,2023,HD 75302
HD 75784 b,13.8,83.1,Dwarf Planet,1,2014,HD 75784
HD 75784 c,12.8,61.74,Proto Planet,0,2018,HD 75784
HD 75898 b,13.2,0.88,Gas Giant,1,2007,HD 75898
HD 75898 c,12.6,40.68,Garden World,1,2024,HD 75898
HD 76700 b,9.6,95.89,Garden World,0,2002,HD 76700
HD 76920 b,13.1,4.42,Proto Planet,1,2017,HD 76920
HD 77338 b,4.12,8.46,Ice Giant,0,2012,HD 77338
HD 77946 b,2.896,96.61,Ice Giant,0,2024,HD 77946
HD 79181 b,14.1,88.39,Gas Giant,1,2021,HD 79181
HD 7924 b,2.4,49.54,Gas Giant,0,2008,HD 7924
HD 7924 c,2.72,67.49,Dwarf Planet,1,2015,HD 7924
HD 7924 d,2.42,50.47,Dwarf Planet,0,2015,HD 7924
HD 79498 b,13.6,111.74,Gas Giant,1,2011,HD 79498
HD 80606 b,11.994,79.61,Ice Giant,1,2001,HD 80606
HD 80653 b,1.613,55.86,Proto Planet,0,2020,HD 80653
HD 80869 b,12.8,85.58,Dwarf Planet,0,2021,HD 80869
HD 80883 b,12.8,4.6,Gas Giant,0,2022,HD 80883
HD 80913 b,12,95.64,Gas Giant,0,2022,HD 80913
HD 81040 b,12.6,62.65,Gas Giant,0,2005,HD 81040
HD 81688 b,13.5,91.62,Garden World,1,2007,HD 81688
HD 81817 b,12,90.42,Ice Giant,1,2020,HD 81817
HD 81817 c,12,104.17,Ice Giant,1,2022,HD 81817
HD 82886 b,13.3,5.13,Proto Planet,0,2011,HD 82886
HD 82943 b,13.5,97.25,Proto Planet,0,2003,HD 82943
HD 82943 c,13.4,122.3,Proto Planet,0,2003,HD 82943
HD 8326 b,9.58,121.43,Ice Giant,0,2019,HD 8326
HD 83443 b,14.1,86.15,Dwarf Planet,0,2002,HD 83443
HD 83443 c,13.6,28.25,Gas Giant,1,2022,HD 83443
HD 8535 b,14,18.03,Proto Planet,1,2010,HD 8535
HD 85390 b,6.16,106.07,Dwarf Planet,0,2009,HD 85390
HD 8574 b,13.4,22.76,Gas Giant,1,2002,HD 8574
HD 86065 b,12.5,77.09,Chthonian Planet,0,2022,HD 86065
HD 86081 b,13.6,114.89,Dwarf Planet,1,2006,HD 86081
HD 86226 b,14.3,70.6,Dwarf Planet,0,2009,HD 86226
HD 86226 c,2.16,100.7,Gas Giant,0,2020,HD 86226
HD 86264 b,12.5,63.05,Chthonian Planet,1,2009,HD 86264
HD 86728 b,3.03,76.1,Garden World,0,2025,HD 86728
HD 8673 b,12.3,49.7,Dwarf Planet,0,2009,HD 8673
HD 86950 b,13,68.03,Garden World,1,2016,HD 86950
HD 87646 b,12.4,77.1,Ice Giant,0,2016,HD 87646
HD 87883 b,12.8,25.09,Chthonian Planet,0,2009,HD 87883
HD 88072 b,12.6,79.81,Ice Giant,1,2022,HD 88072
HD 88133 b,13.8,121.75,Proto Planet,1,2004,HD 88133
HD 88986 b,2.49,34.15,Gas Giant,1,2023,HD 88986
HD 89307 b,13.4,89.33,Proto Planet,1,2009,HD 89307
HD 89345 b,7.398,52.53,Ice Giant,0,2018,HD 89345
HD 89744 b,12.6,89.52,Dwarf Planet,0,1999,HD 89744
HD 89839 b,12.9,26.75,Dwarf Planet,1,2023,HD 89839
HD 90156 b,4.43,28.21,Chthonian Planet,1,2009,HD 90156
HD 9174 b,13.7,78.48,Dwarf Planet,0,2016,HD 9174
HD 92788 b,13,102.53,Chthonian Planet,0,2000,HD 92788
HD 92788 c,13,83.16,Ice Giant,1,2019,HD 92788
HD 93083 b,13.4,86.31,Dwarf Planet,1,2005,HD 93083
HD 93351 b,1.69,55.72,Chthonian Planet,1,2022,HD 93351
HD 93351 c,12.3,59.76,Proto Planet,1,2022,HD 93351
HD 93385 b,1.88,86.32,Dwarf Planet,0,2021,HD 93385
HD 93385 c,2.56,104.97,Proto Planet,0,2021,HD 93385
HD 93385 d,2.89,88.02,Ice Giant,0,2021,HD 93385
HD 93963 A b,1.47,99.41,Ice Giant,1,2022,HD 93963
HD 93963 A c,3.12,84.02,Dwarf Planet,1,2022,HD 93963
HD 9446 b,14,57.98,Garden World,1,2009,HD 9446
HD 9446 c,13.4,56.23,Dwarf Planet,1,2009,HD 9446
HD 94771 b,14.2,69.46,Proto Planet,0,2023,HD 94771
HD 94834 b,13.7,47.56,Ice Giant,1,2018,HD 94834
HD 95086 b,12.9,50,Gas Giant,1,2013,HD 95086
HD 95089 b,13.7,57.88,Proto Planet,0,2009,HD 95089
HD 95089 c,13.1,92.36,Chthonian Planet,1,2018,HD 95089
HD 95127 b,12.4,27.93,Proto Planet,1,2015,HD 95127
HD 95338 b,3.89,23.94,Gas Giant,1,2020,HD 95338
HD 95544 b,12.8,100.02,Gas Giant,0,2021,HD 95544
HD 95735 c,3.76,82.56,Ice Giant,0,2021,GJ 411
HD 95872 b,13,73.68,Garden World,0,2015,HD 95872
HD 96063 b,13.7,42.6,Chthonian Planet,0,2011,HD 96063
HD 96127 b,12.1,16.68,Dwarf Planet,0,2011,HD 96127
HD 96167 b,14,104.94,Ice Giant,0,2009,HD 96167
HD 96700 b,2.93,113.1,Dwarf Planet,1,2021,HD 96700
HD 96700 c,1.69,64.41,Ice Giant,1,2021,HD 96700
HD 96700 d,3.61,81.32,Ice Giant,1,2021,HD 96700
HD 96992 b,13.7,30.83,Chthonian Planet,1,2021,HD 96992
HD 97037 b,12.1,15.39,Gas Giant,1,2022,HD 97037
HD 97048 b,13.3,34.73,Proto Planet,1,2019,HD 97048
HD 97658 b,2.12,118.27,Gas Giant,1,2010,HD 97658
HD 98219 b,13.4,96.66,Garden World,1,2011,HD 98219
HD 98649 b,12.6,116.44,Dwarf Planet,1,2012,HD 98649
HD 98736 b,13.3,82.16,Gas Giant,1,2018,HD 98736
HD 99109 b,14.3,32.35,Ice Giant,1,2005,HD 99109
HD 99283 b,13.8,32.62,Garden World,0,2021,HD 99283
HD 99492 b,5.44,105.14,Dwarf Planet,0,2004,HD 99492
HD 99492 c,4.42,88.77,Chthonian Planet,0,2023,HD 99492
HD 99706 b,13.7,50.22,Garden World,1,2011,HD 99706
HD 99706 c,12.8,120.15,Gas Giant,1,2018,HD 99706
HIP 105854 b,12.6,2.87,Garden World,1,2014,HIP 105854
HIP 107772 b,3.64,118.25,Proto Planet,1,2020,HIP 107772
HIP 107773 b,13.4,7.38,Proto Planet,1,2015,HIP 107773
HIP 109384 b,13.5,52.83,Ice Giant,1,2016,HIP 109384
HIP 109600 b,13.2,80.9,Proto Planet,0,2016,HIP 109600
HIP 113103 b,1.829,120.92,Proto Planet,0,2023,HIP 113103
HIP 113103 c,2.4,86.4,Ice Giant,0,2023,HIP 113103
HIP 114933 b,13.4,91.72,Dwarf Planet,0,2021,HIP 114933
HIP 116454 b,2.469,71.69,Proto Planet,0,2014,HIP 116454
HIP 12961 b,13.2,22.1,Dwarf Planet,1,2010,HIP 12961
HIP 14810 b,13,118.27,Garden World,0,2005,HIP 14810
HIP 14810 c,13.6,116.42,Dwarf Planet,0,2006,HIP 14810
HIP 14810 d,14.1,34.54,Chthonian Planet,1,2009,HIP 14810
HIP 19976 b,4.94,29.04,Garden World,0,2022,HIP 19976
HIP 21152 b,12,15.99,Chthonian Planet,0,2022,HIP 21152
HIP 29442 c,1.551,122.86,Dwarf Planet,1,2023,HD 42813
HIP 29442 d,1.538,62.99,Chthonian Planet,1,2023,HD 42813
HIP 34222 b,13.9,114.95,Proto Planet,1,2021,HIP 34222
HIP 35173 b,3.61,85.86,Dwarf Planet,1,2019,HIP 35173
HIP 35965 b,12.6,110.31,Proto Planet,0,2022,HIP 35965
HIP 38594 b,2.77,100.18,Gas Giant,0,2020,HIP 38594
HIP 38594 c,7.94,35.55,Dwarf Planet,1,2020,HIP 38594
HIP 39017 b,12,24.58,Dwarf Planet,0,2024,HIP 39017
HIP 41378 b,2.443,63.16,Gas Giant,1,2016,HIP 41378
HIP 41378 c,2.56,76.54,Chthonian Planet,1,2016,HIP 41378
HIP 41378 d,3.96,13.68,Ice Giant,1,2016,HIP 41378
HIP 41378 e,5.51,81.33,Ice Giant,1,2016,HIP 41378
HIP 41378 f,10.2,105.79,Proto Planet,1,2016,HIP 41378
HIP 4845 b,3.89,104.57,Dwarf Planet,0,2020,HIP 4845
HIP 48714 b,5.11,53.06,Proto Planet,1,2020,HIP 48714
HIP 5158 b,13.6,87.7,Proto Planet,1,2009,HIP 5158
HIP 5158 c,12.2,112.48,Garden World,0,2011,HIP 5158
HIP 54373 b,2.87,44.69,Gas Giant,0,2019,HIP 54373
HIP 54373 c,3.57,74.04,Proto Planet,1,2019,HIP 54373
HIP 54597 b,13.3,115.86,Ice Giant,1,2023,HIP 54597
HIP 55507 b,12.6,75.89,Ice Giant,1,2022,HIP 55507
HIP 56640 b,12.7,68.45,Proto Planet,0,2021,HIP 56640
HIP 57274 b,2.4,76.79,Proto Planet,1,2011,HIP 57274
HIP 57274 c,14.2,16.84,Dwarf Planet,1,2011,HIP 57274
HIP 57274 d,14.2,91.43,Dwarf Planet,1,2011,HIP 57274
HIP 5763 b,14.2,88.77,Ice Giant,1,2021,HIP 5763
HIP 63242 b,12.5,74.21,Proto Planet,1,2013,HIP 63242
HIP 65 A b,22.754,103.76,Garden World,0,2020,HIP 65
HIP 65407 b,14.3,107.9,Proto Planet,1,2016,HIP 65407
HIP 65407 c,13.9,24.54,Gas Giant,0,2016,HIP 65407
HIP 65426 b,16.814,102.45,Proto Planet,1,2017,HIP 65426
HIP 65891 b,12.8,80.18,Dwarf Planet,0,2015,HIP 65891
