Planet Name,Biome,Phylum
Kepler-1068 b,Marshland,Echinodermata
Kepler-1069 b,Alpine,Nematoda
Kepler-107 b,Alpine,Echinodermata
Kepler-107 c,Swamp,Bryophyta
Kepler-107 d,Boreal,Chordata
Kepler-107 e,Boreal,Porifera
Kepler-1070 b,Boreal,Arthropoda
Kepler-1071 b,Tropical,Platyhelminthes
Kepler-1072 b,Nemoral,Nematoda
Kepler-1073 b,Desert,Echinodermata
Kepler-1073 c,Swamp,Platyhelminthes
Kepler-1073 d,Tundra,Mollusca
Kepler-1074 b,Tundra,Nematoda
Kepler-1075 b,Desert,Mollusca
Kepler-1076 b,Alpine,Arthropoda
Kepler-1077 b,Boreal,Angiospermae
Kepler-1078 b,Alpine,Mollusca
Kepler-1079 b,Tundra,Chordata
Kepler-108 b,Tundra,Annelida
Kepler-108 c,Boreal,Cnidaria
Kepler-1080 b,Swamp,Bryophyta
Kepler-1081 b,Desert,Platyhelminthes
Kepler-1082 b,Alpine,Echinodermata
Kepler-1083 b,Tropical,Annelida
Kepler-1084 b,Nemoral,Annelida
Kepler-1085 b,Desert,Pteridophyta
Kepler-1085 c,Desert,Pteridophyta
Kepler-1086 b,Desert,Porifera
Kepler-1086 c,Alpine,Annelida
Kepler-1087 b,Tundra,Nematoda
Kepler-1088 b,Swamp,Arthropoda
Kepler-1089 b,Tropical,Mollusca
Kepler-109 b,Marshland,Echinodermata
Kepler-109 c,Scarlet,Arthropoda
Kepler-1090 b,Swamp,Echinodermata
Kepler-1090 c,Marshland,Pteridophyta
Kepler-1091 b,Swamp,Platyhelminthes
Kepler-1092 b,Scarlet,Porifera
Kepler-1093 b,Marshland,Chordata
Kepler-1093 c,Nemoral,Bryophyta
Kepler-1094 b,Scarlet,Chordata
Kepler-1095 b,Alpine,Echinodermata
Kepler-1096 b,Tundra,Chordata
Kepler-1097 b,Tundra,Mollusca
Kepler-1098 b,Tropical,Platyhelminthes
Kepler-1099 b,Scarlet,Arthropoda
Kepler-11 b,Tropical,Echinodermata
Kepler-11 c,Swamp,Arthropoda
Kepler-11 d,Alpine,Porifera
Kepler-11 e,Desert,Porifera
Kepler-11 f,Tropical,Chordata
Kepler-11 g,Marshland,Pteridophyta
Kepler-110 b,Tropical,Annelida
Kepler-110 c,Nemoral,Cnidaria
Kepler-1100 b,Desert,Arthropoda
Kepler-1101 b,Desert,Bryophyta
Kepler-1102 b,Tundra,Pteridophyta
Kepler-1103 b,Alpine,Arthropoda
Kepler-1104 b,Tundra,Pteridophyta
Kepler-1105 b,Alpine,Cnidaria
Kepler-1106 b,Scarlet,Pteridophyta
Kepler-1107 b,Swamp,Pteridophyta
Kepler-1108 b,Swamp,Angiospermae
Kepler-1109 b,Desert,Chordata
Kepler-111 b,Tundra,Echinodermata
Kepler-111 c,Boreal,Annelida
Kepler-1110 b,Scarlet,Platyhelminthes
Kepler-1111 b,Alpine,Cnidaria
Kepler-1112 b,Desert,Chordata
Kepler-1113 b,Temperate,Echinodermata
Kepler-1114 b,Marshland,Pteridophyta
Kepler-1115 b,Desert,Bryophyta
Kepler-1116 b,Tropical,Echinodermata
Kepler-1117 b,Marshland,Nematoda
Kepler-1118 b,Scarlet,Echinodermata
Kepler-1119 b,Nemoral,Pteridophyta
Kepler-112 b,Tropical,Pteridophyta
Kepler-112 c,Swamp,Pteridophyta
Kepler-1120 b,Tropical,Angiospermae
Kepler-1121 b,Scarlet,Bryophyta
Kepler-1122 b,Tropical,Annelida
Kepler-1123 b,Desert,Nematoda
Kepler-1124 b,Temperate,Mollusca
Kepler-1125 b,Alpine,Pteridophyta
Kepler-1126 b,Swamp,Chordata
Kepler-1126 c,Boreal,Mollusca
Kepler-1127 b,Scarlet,Pteridophyta
Kepler-1128 b,Tropical,Nematoda
Kepler-1129 b,Boreal,Nematoda
Kepler-1129 c,Marshland,Echinodermata
Kepler-113 b,Tropical,Cnidaria
Kepler-113 c,Swamp,Angiospermae
Kepler-1130 b,Boreal,Chordata
Kepler-1130 c,Scarlet,Nematoda
Kepler-1130 d,Alpine,Cnidaria
Kepler-1131 b,Tundra,Porifera
Kepler-1132 b,Swamp,Cnidaria
Kepler-1133 b,Marshland,Arthropoda
Kepler-1134 b,Nemoral,Chordata
Kepler-1135 b,Tundra,Mollusca
Kepler-1136 b,Swamp,Cnidaria
Kepler-1137 b,Desert,Arthropoda
Kepler-1138 b,Temperate,Annelida
Kepler-1139 b,Marshland,Platyhelminthes
Kepler-114 b,Boreal,Mollusca
Kepler-114 c,Swamp,Annelida
Kepler-114 d,Marshland,Bryophyta
Kepler-1140 b,Tropical,Chordata
Kepler-1141 b,Scarlet,Platyhelminthes
Kepler-1142 b,Boreal,Pteridophyta
Kepler-1143 b,Swamp,Arthropoda
Kepler-1143 c,Alpine,Cnidaria
Kepler-1144 b,Marshland,Bryophyta
Kepler-1145 b,Tundra,Pteridophyta
Kepler-1146 b,Marshland,Chordata
Kepler-1147 b,Tropical,Annelida
Kepler-1148 b,Swamp,Platyhelminthes
Kepler-1149 b,Alpine,Platyhelminthes
Kepler-115 b,Alpine,Arthropoda
Kepler-115 c,Alpine,Chordata
Kepler-1150 b,Swamp,Nematoda
Kepler-1151 b,Scarlet,Bryophyta
Kepler-1152 b,Tropical,Nematoda
Kepler-1153 b,Tropical,Cnidaria
Kepler-1154 b,Alpine,Nematoda
Kepler-1154 c,Boreal,Echinodermata
Kepler-1155 b,Marshland,Chordata
Kepler-1156 b,Boreal,Arthropoda
Kepler-1157 b,Temperate,Chordata
Kepler-1158 b,Tropical,Chordata
Kepler-1159 b,Tundra,Nematoda
Kepler-116 b,Scarlet,Echinodermata
Kepler-116 c,Desert,Cnidaria
Kepler-1160 b,Scarlet,Mollusca
Kepler-1161 b,Marshland,Echinodermata
Kepler-1162 b,Boreal,Cnidaria
Kepler-1162 c,Swamp,Mollusca
Kepler-1163 b,Scarlet,Arthropoda
Kepler-1164 b,Tundra,Pteridophyta
Kepler-1165 b,Nemoral,Platyhelminthes
Kepler-1165 c,Desert,Platyhelminthes
Kepler-1166 b,Tundra,Mollusca
Kepler-1167 b,Temperate,Mollusca
Kepler-1168 b,Swamp,Echinodermata
Kepler-1169 b,Nemoral,Mollusca
Kepler-117 b,Marshland,Annelida
Kepler-117 c,Tundra,Mollusca
Kepler-1170 b,Alpine,Chordata
Kepler-1171 b,Alpine,Chordata
Kepler-1172 b,Temperate,Chordata
Kepler-1173 b,Alpine,Echinodermata
Kepler-1174 b,Tropical,Mollusca
Kepler-1175 b,Tropical,Porifera
Kepler-1176 b,Nemoral,Bryophyta
Kepler-1177 b,Marshland,Echinodermata
Kepler-1178 b,Tundra,Arthropoda
Kepler-1179 b,Tropical,Echinodermata
Kepler-118 b,Alpine,Cnidaria
Kepler-118 c,Marshland,Arthropoda
Kepler-1180 b,Swamp,Bryophyta
Kepler-1181 b,Swamp,Annelida
Kepler-1181 c,Boreal,Cnidaria
Kepler-1182 b,Tropical,Porifera
Kepler-1183 b,Scarlet,Platyhelminthes
Kepler-1184 b,Boreal,Bryophyta
Kepler-1185 b,Tundra,Nematoda
Kepler-1186 b,Desert,Pteridophyta
Kepler-1187 b,Temperate,Echinodermata
Kepler-1188 b,Tundra,Chordata
Kepler-1189 b,Scarlet,Cnidaria
Kepler-119 b,Swamp,Pteridophyta
Kepler-119 c,Swamp,Echinodermata
Kepler-1190 b,Temperate,Mollusca
Kepler-1191 b,Marshland,Echinodermata
Kepler-1192 b,Tundra,Nematoda
Kepler-1193 b,Desert,Annelida
Kepler-1194 b,Tropical,Annelida
Kepler-1195 b,Boreal,Chordata
Kepler-1196 b,Boreal,Pteridophyta
Kepler-1197 b,Scarlet,Echinodermata
Kepler-1198 b,Boreal,Echinodermata
Kepler-1199 b,Alpine,Annelida
Kepler-12 b,Marshland,Platyhelminthes
Kepler-120 b,Swamp,Pteridophyta
Kepler-120 c,Desert,Chordata
Kepler-1200 b,Scarlet,Arthropoda
Kepler-1201 b,Swamp,Chordata
Kepler-1202 b,Tundra,Chordata
Kepler-1203 b,Desert,Pteridophyta
Kepler-1204 b,Desert,Platyhelminthes
Kepler-1205 b,Scarlet,Mollusca
Kepler-1206 b,Tropical,Cnidaria
Kepler-1207 b,Desert,Platyhelminthes
Kepler-1208 b,Nemoral,Nematoda
Kepler-1209 b,Nemoral,Arthropoda
Kepler-121 b,Tropical,Platyhelminthes
Kepler-121 c,Tundra,Pteridophyta
Kepler-1210 b,Marshland,Echinodermata
Kepler-1211 b,Scarlet,Porifera
Kepler-1212 b,Boreal,Arthropoda
Kepler-1213 b,Scarlet,Bryophyta
Kepler-1214 b,Alpine,Annelida
Kepler-1215 b,Boreal,Platyhelminthes
Kepler-1216 b,Temperate,Pteridophyta
Kepler-1217 b,Marshland,Cnidaria
Kepler-1218 b,Alpine,Bryophyta
Kepler-1219 b,Scarlet,Arthropoda
Kepler-122 b,Desert,Arthropoda
Kepler-122 c,Tundra,Pteridophyta
Kepler-122 d,Tundra,Nematoda
Kepler-122 e,Tropical,Chordata
Kepler-122 f,Alpine,Arthropoda
Kepler-1220 b,Desert,Porifera
Kepler-1221 b,Tundra,Arthropoda
Kepler-1222 b,Alpine,Pteridophyta
Kepler-1223 b,Tundra,Platyhelminthes
Kepler-1224 b,Alpine,Platyhelminthes
Kepler-1225 b,Swamp,Bryophyta
Kepler-1226 b,Boreal,Echinodermata
Kepler-1227 b,Temperate,Cnidaria
Kepler-1228 b,Tundra,Arthropoda
Kepler-1229 b,Scarlet,Bryophyta
Kepler-123 b,Nemoral,Mollusca
Kepler-123 c,Swamp,Arthropoda
Kepler-1230 b,Marshland,Annelida
Kepler-1231 b,Nemoral,Arthropoda
Kepler-1232 b,Desert,Mollusca
Kepler-1233 b,Swamp,Porifera
Kepler-1234 b,Scarlet,Nematoda
Kepler-1235 b,Marshland,Platyhelminthes
Kepler-1236 b,Swamp,Porifera
Kepler-1237 b,Tropical,Mollusca
Kepler-1238 b,Tundra,Pteridophyta
Kepler-1239 b,Desert,Pteridophyta
Kepler-124 b,Nemoral,Chordata
Kepler-124 c,Scarlet,Angiospermae
Kepler-124 d,Tundra,Chordata
Kepler-1240 b,Scarlet,Annelida
Kepler-1241 b,Temperate,Cnidaria
Kepler-1242 b,Desert,Bryophyta
Kepler-1243 b,Swamp,Arthropoda
Kepler-1244 b,Alpine,Pteridophyta
Kepler-1245 b,Boreal,Pteridophyta
Kepler-1245 c,Tropical,Mollusca
Kepler-1246 b,Temperate,Annelida
Kepler-1247 b,Swamp,Platyhelminthes
Kepler-1248 b,Tundra,Pteridophyta
Kepler-1249 b,Scarlet,Pteridophyta
Kepler-125 b,Tundra,Angiospermae
Kepler-125 c,Boreal,Porifera
Kepler-1250 b,Scarlet,Nematoda
Kepler-1251 b,Scarlet,Pteridophyta
Kepler-1252 b,Desert,Mollusca
Kepler-1253 b,Boreal,Porifera
Kepler-1254 b,Marshland,Nematoda
Kepler-1254 c,Marshland,Nematoda
Kepler-1254 d,Swamp,Cnidaria
Kepler-1255 b,Alpine,Nematoda
Kepler-1256 b,Alpine,Pteridophyta
Kepler-1257 b,Boreal,Pteridophyta
Kepler-1258 b,Swamp,Platyhelminthes
Kepler-1259 b,Scarlet,Chordata
Kepler-126 b,Boreal,Nematoda
Kepler-126 c,Alpine,Bryophyta
Kepler-126 d,Tropical,Chordata
Kepler-1260 b,Scarlet,Bryophyta
Kepler-1261 b,Scarlet,Mollusca
Kepler-1262 b,Marshland,Angiospermae
Kepler-1263 b,Alpine,Bryophyta
Kepler-1264 b,Marshland,Nematoda
Kepler-1265 b,Scarlet,Cnidaria
Kepler-1266 b,Boreal,Platyhelminthes
Kepler-1266 c,Scarlet,Mollusca
Kepler-1267 b,Swamp,Echinodermata
Kepler-1268 b,Alpine,Platyhelminthes
Kepler-1269 b,Alpine,Platyhelminthes
Kepler-127 b,Tropical,Cnidaria
Kepler-127 c,Swamp,Mollusca
Kepler-127 d,Temperate,Platyhelminthes
Kepler-1270 b,Temperate,Nematoda
Kepler-1271 b,Boreal,Porifera
Kepler-1272 b,Alpine,Porifera
Kepler-1273 b,Alpine,Platyhelminthes
Kepler-1274 b,Boreal,Echinodermata
Kepler-1275 b,Boreal,Chordata
Kepler-1276 b,Marshland,Platyhelminthes
Kepler-1277 b,Marshland,Chordata
Kepler-1278 b,Desert,Platyhelminthes
Kepler-1279 b,Desert,Bryophyta
Kepler-128 b,Tundra,Cnidaria
Kepler-128 c,Desert,Bryophyta
Kepler-1280 b,Desert,Pteridophyta
Kepler-1281 b,Alpine,Annelida
Kepler-1282 b,Nemoral,Mollusca
Kepler-1283 b,Swamp,Cnidaria
Kepler-1284 b,Scarlet,Echinodermata
Kepler-1285 b,Scarlet,Annelida
Kepler-1286 b,Boreal,Cnidaria
Kepler-1287 b,Desert,Arthropoda
Kepler-1288 b,Boreal,Nematoda
Kepler-1289 b,Marshland,Platyhelminthes
Kepler-129 b,Marshland,Mollusca
Kepler-129 c,Scarlet,Platyhelminthes
Kepler-129 d,Alpine,Mollusca
Kepler-1290 b,Tropical,Echinodermata
Kepler-1291 b,Alpine,Bryophyta
Kepler-1292 b,Boreal,Bryophyta
Kepler-1293 b,Desert,Annelida
Kepler-1294 b,Swamp,Nematoda
Kepler-1295 b,Tropical,Porifera
Kepler-1296 b,Tundra,Echinodermata
Kepler-1297 b,Boreal,Arthropoda
Kepler-1298 b,Tropical,Chordata
Kepler-1299 b,Nemoral,Nematoda
Kepler-130 b,Scarlet,Chordata
Kepler-130 c,Desert,Nematoda
Kepler-130 d,Nemoral,Nematoda
Kepler-1300 b,Alpine,Nematoda
Kepler-1301 b,Boreal,Nematoda
Kepler-1302 b,Temperate,Nematoda
Kepler-1303 b,Alpine,Echinodermata
Kepler-1304 b,Tundra,Echinodermata
Kepler-1305 b,Tropical,Nematoda
Kepler-1306 b,Boreal,Platyhelminthes
Kepler-1307 b,Tundra,Nematoda
Kepler-1308 b,Tundra,Chordata
Kepler-1309 b,Tundra,Chordata
Kepler-131 b,Marshland,Bryophyta
Kepler-131 c,Marshland,Chordata
Kepler-1310 b,Scarlet,Chordata
Kepler-1311 b,Marshland,Arthropoda
Kepler-1311 c,Nemoral,Mollusca
Kepler-1311 d,Swamp,Annelida
Kepler-1312 b,Alpine,Angiospermae
Kepler-1312 c,Marshland,Pteridophyta
Kepler-1313 b,Nemoral,Mollusca
Kepler-1314 b,Marshland,Nematoda
Kepler-1315 b,Swamp,Annelida
Kepler-1315 c,Marshland,Bryophyta
Kepler-1316 b,Scarlet,Mollusca
Kepler-1317 b,Tundra,Arthropoda
Kepler-1318 b,Alpine,Pteridophyta
Kepler-1319 b,Alpine,Cnidaria
Kepler-132 b,Scarlet,Chordata
Kepler-132 c,Nemoral,Chordata
Kepler-132 d,Tropical,Bryophyta
Kepler-132 e,Swamp,Annelida
Kepler-1320 b,Boreal,Arthropoda
Kepler-1321 b,Desert,Angiospermae
Kepler-1321 c,Swamp,Bryophyta
Kepler-1321 d,Tropical,Mollusca
Kepler-1322 b,Swamp,Angiospermae
Kepler-1322 c,Alpine,Pteridophyta
Kepler-1323 b,Nemoral,Mollusca
Kepler-1324 b,Nemoral,Nematoda
Kepler-1325 b,Temperate,Bryophyta
Kepler-1326 b,Desert,Arthropoda
Kepler-1327 b,Desert,Pteridophyta
Kepler-1328 b,Tundra,Chordata
Kepler-1329 b,Temperate,Porifera
Kepler-133 b,Tundra,Annelida
Kepler-133 c,Desert,Cnidaria
Kepler-1330 b,Desert,Nematoda
Kepler-1331 b,Boreal,Chordata
Kepler-1332 b,Alpine,Mollusca
Kepler-1333 b,Swamp,Arthropoda
Kepler-1334 b,Boreal,Mollusca
Kepler-1335 b,Tundra,Nematoda
Kepler-1336 b,Alpine,Pteridophyta
Kepler-1336 c,Nemoral,Mollusca
Kepler-1337 b,Tropical,Pteridophyta
Kepler-1338 b,Desert,Pteridophyta
Kepler-1339 b,Tundra,Nematoda
Kepler-134 b,Scarlet,Angiospermae
Kepler-134 c,Scarlet,Annelida
Kepler-1340 b,Swamp,Porifera
Kepler-1341 b,Alpine,Pteridophyta
Kepler-1342 b,Temperate,Pteridophyta
Kepler-1343 b,Tropical,Echinodermata
Kepler-1344 b,Marshland,Echinodermata
Kepler-1345 b,Tropical,Annelida
Kepler-1346 b,Tropical,Nematoda
Kepler-1347 b,Alpine,Arthropoda
Kepler-1348 b,Desert,Nematoda
Kepler-1349 b,Marshland,Echinodermata
Kepler-135 b,Temperate,Echinodermata
Kepler-135 c,Marshland,Chordata
Kepler-1350 b,Swamp,Pteridophyta
Kepler-1350 c,Tundra,Pteridophyta
Kepler-1351 b,Nemoral,Cnidaria
Kepler-1352 b,Scarlet,Annelida
Kepler-1353 b,Temperate,Pteridophyta
Kepler-1354 b,Boreal,Platyhelminthes
Kepler-1355 b,Marshland,Arthropoda
Kepler-1356 b,Desert,Cnidaria
Kepler-1357 b,Boreal,Cnidaria
Kepler-1358 b,Alpine,Echinodermata
Kepler-1359 b,Desert,Annelida
Kepler-136 b,Scarlet,Porifera
Kepler-136 c,Tropical,Platyhelminthes
Kepler-1360 b,Swamp,Cnidaria
Kepler-1361 b,Boreal,Echinodermata
Kepler-1362 b,Scarlet,Nematoda
Kepler-1363 b,Marshland,Bryophyta
Kepler-1364 b,Scarlet,Chordata
Kepler-1365 b,Tundra,Annelida
Kepler-1365 c,Alpine,Arthropoda
Kepler-1366 b,Desert,Annelida
Kepler-1367 b,Boreal,Platyhelminthes
Kepler-1368 b,Swamp,Angiospermae
Kepler-1369 b,Boreal,Angiospermae
Kepler-137 b,Boreal,Echinodermata
Kepler-137 c,Marshland,Porifera
Kepler-1370 b,Alpine,Platyhelminthes
Kepler-1370 c,Nemoral,Cnidaria
Kepler-1371 b,Tropical,Mollusca
Kepler-1371 c,Scarlet,Angiospermae
Kepler-1372 b,Swamp,Bryophyta
Kepler-1373 b,Tundra,Echinodermata
Kepler-1374 b,Scarlet,Platyhelminthes
Kepler-1375 b,Nemoral,Pteridophyta
Kepler-1376 b,Temperate,Cnidaria
Kepler-1377 b,Alpine,Bryophyta
Kepler-1378 b,Tundra,Chordata
Kepler-1379 b,Marshland,Pteridophyta
Kepler-138 b,Temperate,Nematoda
Kepler-138 c,Tundra,Nematoda
Kepler-138 d,Tundra,Bryophyta
Kepler-138 e,Scarlet,Echinodermata
Kepler-1380 b,Scarlet,Cnidaria
Kepler-1381 b,Alpine,Chordata
Kepler-1382 b,Marshland,Echinodermata
Kepler-1383 b,Temperate,Porifera
Kepler-1384 b,Temperate,Annelida
Kepler-1385 b,Scarlet,Mollusca
Kepler-1386 b,Swamp,Angiospermae
Kepler-1387 b,Marshland,Arthropoda
Kepler-1388 b,Scarlet,Arthropoda
Kepler-1388 c,Nemoral,Echinodermata
Kepler-1388 d,Marshland,Porifera
Kepler-1388 e,Scarlet,Pteridophyta
Kepler-1389 b,Boreal,Bryophyta
Kepler-139 b,Boreal,Cnidaria
Kepler-139 c,Alpine,Nematoda
Kepler-139 d,Desert,Echinodermata
Kepler-139 e,Swamp,Pteridophyta
Kepler-1390 b,Marshland,Echinodermata
Kepler-1391 b,Temperate,Pteridophyta
Kepler-1392 b,Desert,Chordata
Kepler-1393 b,Tundra,Nematoda
Kepler-1394 b,Temperate,Annelida
Kepler-1395 b,Desert,Chordata
Kepler-1396 b,Nemoral,Chordata
Kepler-1397 b,Scarlet,Annelida
Kepler-1398 b,Swamp,Arthropoda
Kepler-1398 c,Scarlet,Bryophyta
Kepler-1399 b,Marshland,Porifera
Kepler-14 b,Tropical,Chordata
Kepler-140 b,Alpine,Pteridophyta
Kepler-140 c,Alpine,Echinodermata
Kepler-1400 b,Desert,Pteridophyta
Kepler-1401 b,Tundra,Arthropoda
Kepler-1402 b,Tropical,Chordata
Kepler-1403 b,Desert,Bryophyta
Kepler-1404 b,Boreal,Pteridophyta
Kepler-1405 b,Boreal,Chordata
Kepler-1406 b,Tropical,Annelida
Kepler-1407 b,Boreal,Cnidaria
Kepler-1408 b,Boreal,Arthropoda
Kepler-1409 b,Swamp,Cnidaria
Kepler-141 b,Alpine,Cnidaria
Kepler-141 c,Boreal,Nematoda
Kepler-1410 b,Marshland,Arthropoda
Kepler-1411 b,Tundra,Cnidaria
Kepler-1412 b,Marshland,Nematoda
Kepler-1413 b,Tundra,Bryophyta
Kepler-1414 b,Swamp,Annelida
Kepler-1415 b,Desert,Platyhelminthes
Kepler-1416 b,Desert,Mollusca
Kepler-1417 b,Swamp,Cnidaria
Kepler-1418 b,Scarlet,Annelida
Kepler-1419 b,Tundra,Cnidaria
Kepler-142 b,Boreal,Bryophyta
Kepler-142 c,Scarlet,Echinodermata
Kepler-142 d,Tropical,Mollusca
Kepler-1420 b,Desert,Angiospermae
Kepler-1421 b,Marshland,Cnidaria
Kepler-1422 b,Alpine,Pteridophyta
Kepler-1423 b,Alpine,Porifera
Kepler-1424 b,Marshland,Angiospermae
Kepler-1425 b,Alpine,Mollusca
Kepler-1426 b,Desert,Mollusca
Kepler-1427 b,Alpine,Angiospermae
Kepler-1428 b,Boreal,Cnidaria
Kepler-1429 b,Desert,Platyhelminthes
Kepler-143 b,Alpine,Nematoda
Kepler-143 c,Marshland,Chordata
Kepler-1430 b,Temperate,Mollusca
Kepler-1431 b,Boreal,Mollusca
Kepler-1432 b,Alpine,Bryophyta
Kepler-1433 b,Scarlet,Annelida
Kepler-1434 b,Tundra,Mollusca
Kepler-1435 b,Swamp,Bryophyta
Kepler-1436 b,Tundra,Arthropoda
Kepler-1437 b,Marshland,Mollusca
Kepler-1438 b,Tropical,Pteridophyta
Kepler-1439 b,Swamp,Nematoda
Kepler-144 b,Swamp,Annelida
Kepler-144 c,Boreal,Echinodermata
Kepler-1440 b,Tropical,Cnidaria
Kepler-1441 b,Desert,Nematoda
Kepler-1442 b,Tropical,Pteridophyta
Kepler-1443 b,Boreal,Cnidaria
Kepler-1444 b,Desert,Annelida
Kepler-1445 b,Desert,Pteridophyta
Kepler-1446 b,Boreal,Chordata
Kepler-1447 b,Alpine,Angiospermae
Kepler-1448 b,Tundra,Bryophyta
Kepler-1449 b,Desert,Bryophyta
Kepler-145 b,Marshland,Angiospermae
Kepler-145 c,Scarlet,Echinodermata
Kepler-1450 b,Tropical,Porifera
Kepler-1451 b,Boreal,Mollusca
Kepler-1452 b,Scarlet,Platyhelminthes
Kepler-1453 b,Temperate,Mollusca
Kepler-1454 b,Tundra,Pteridophyta
Kepler-1455 b,Nemoral,Platyhelminthes
Kepler-1456 b,Tundra,Mollusca
Kepler-1457 b,Boreal,Echinodermata
Kepler-1458 b,Nemoral,Echinodermata
Kepler-1459 b,Tropical,Chordata
Kepler-146 b,Nemoral,Arthropoda
Kepler-146 c,Tundra,Chordata
Kepler-1460 b,Scarlet,Mollusca
Kepler-1461 b,Alpine,Pteridophyta
Kepler-1462 b,Nemoral,Mollusca
Kepler-1463 b,Boreal,Arthropoda
Kepler-1464 b,Swamp,Cnidaria
Kepler-1464 c,Swamp,Chordata
Kepler-1465 b,Scarlet,Chordata
Kepler-1466 b,Tropical,Annelida
Kepler-1467 b,Temperate,Porifera
Kepler-1468 b,Tundra,Echinodermata
Kepler-1468 c,Temperate,Cnidaria
Kepler-1468 d,Swamp,Echinodermata
Kepler-1469 b,Tundra,Platyhelminthes
Kepler-147 b,Tundra,Chordata
Kepler-147 c,Marshland,Platyhelminthes
Kepler-1470 b,Boreal,Arthropoda
Kepler-1471 b,Scarlet,Chordata
Kepler-1471 c,Swamp,Angiospermae
Kepler-1472 b,Tropical,Chordata
Kepler-1473 b,Marshland,Angiospermae
Kepler-1474 b,Desert,Bryophyta
Kepler-1475 b,Scarlet,Bryophyta
Kepler-1476 b,Alpine,Bryophyta
Kepler-1477 b,Desert,Nematoda
Kepler-1478 b,Alpine,Echinodermata
Kepler-1479 b,Swamp,Mollusca
Kepler-148 b,Tundra,Cnidaria
Kepler-148 c,Desert,Echinodermata
Kepler-148 d,Scarlet,Angiospermae
Kepler-1480 b,Desert,Annelida
Kepler-1481 b,Scarlet,Nematoda
Kepler-1482 b,Tundra,Annelida
Kepler-1483 b,Scarlet,Bryophyta
Kepler-1484 b,Boreal,Cnidaria
Kepler-1485 b,Scarlet,Platyhelminthes
Kepler-1486 b,Tropical,Bryophyta
Kepler-1487 b,Alpine,Echinodermata
Kepler-1487 c,Tropical,Echinodermata
Kepler-1488 b,Temperate,Porifera
Kepler-1488 c,Temperate,Chordata
Kepler-1489 b,Boreal,Mollusca
Kepler-1489 c,Temperate,Cnidaria
Kepler-149 b,Temperate,Pteridophyta
Kepler-149 c,Nemoral,Arthropoda
Kepler-149 d,Tundra,Echinodermata
Kepler-1490 b,Alpine,Nematoda
Kepler-1491 b,Boreal,Platyhelminthes
Kepler-1491 c,Nemoral,Bryophyta
Kepler-1492 b,Scarlet,Annelida
Kepler-1493 b,Marshland,Angiospermae
Kepler-1494 b,Marshland,Echinodermata
Kepler-1495 b,Alpine,Echinodermata
Kepler-1496 b,Desert,Echinodermata
Kepler-1497 b,Tundra,Platyhelminthes
Kepler-1498 b,Swamp,Nematoda
Kepler-1499 b,Marshland,Chordata
Kepler-15 b,Tropical,Bryophyta
Kepler-150 b,Desert,Chordata
Kepler-150 c,Marshland,Pteridophyta
Kepler-150 d,Swamp,Bryophyta
Kepler-150 e,Alpine,Chordata
Kepler-150 f,Swamp,Mollusca
Kepler-1500 b,Scarlet,Porifera
Kepler-1501 b,Scarlet,Cnidaria
Kepler-1502 b,Tundra,Mollusca
Kepler-1503 b,Scarlet,Annelida
Kepler-1504 b,Temperate,Nematoda
Kepler-1505 b,Swamp,Angiospermae
Kepler-1506 b,Boreal,Mollusca
Kepler-1507 b,Alpine,Angiospermae
Kepler-1508 b,Desert,Echinodermata
Kepler-1509 b,Tundra,Echinodermata
Kepler-151 b,Scarlet,Porifera
Kepler-151 c,Tropical,Arthropoda
Kepler-1510 b,Alpine,Mollusca
Kepler-1511 b,Scarlet,Mollusca
Kepler-1512 b,Tropical,Annelida
Kepler-1513 b,Temperate,Annelida
Kepler-1513 c,Alpine,Nematoda
Kepler-1514 b,Desert,Nematoda
Kepler-1514 c,Scarlet,Cnidaria
Kepler-1515 b,Marshland,Chordata
Kepler-1516 b,Boreal,Annelida
Kepler-1517 b,Tropical,Annelida
Kepler-1518 b,Swamp,Echinodermata
Kepler-1518 c,Alpine,Pteridophyta
Kepler-1519 b,Tropical,Arthropoda
Kepler-152 b,Temperate,Arthropoda
Kepler-152 c,Desert,Porifera
Kepler-1520 b,Marshland,Bryophyta
Kepler-1521 b,Tropical,Pteridophyta
Kepler-1522 b,Marshland,Nematoda
Kepler-1523 b,Desert,Annelida
Kepler-1524 b,Tropical,Annelida
Kepler-1525 b,Boreal,Echinodermata
Kepler-1526 b,Boreal,Echinodermata
Kepler-1527 b,Tropical,Annelida
Kepler-1528 b,Tundra,Nematoda
Kepler-1529 b,Nemoral,Arthropoda
Kepler-153 b,Alpine,Angiospermae
Kepler-153 c,Marshland,Pteridophyta
Kepler-1530 b,Swamp,Chordata
Kepler-1530 c,Scarlet,Chordata
Kepler-1530 d,Tropical,Nematoda
Kepler-1531 b,Tropical,Annelida
Kepler-1532 b,Scarlet,Annelida
Kepler-1533 b,Temperate,Annelida
Kepler-1534 b,Nemoral,Nematoda
Kepler-1535 b,Scarlet,Annelida
Kepler-1536 b,Swamp,Arthropoda
Kepler-1537 b,Alpine,Nematoda
Kepler-1538 b,Marshland,Annelida
Kepler-1539 b,Nemoral,Platyhelminthes
Kepler-154 b,Tundra,Mollusca
Kepler-154 c,Tropical,Mollusca
Kepler-154 d,Temperate,Annelida
Kepler-154 e,Tundra,Mollusca
Kepler-154 f,Temperate,Bryophyta
Kepler-1540 b,Alpine,Chordata
